nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mvscoglw
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_102227-mvscoglw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/ablation-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/ablation-resnet18/runs/mvscoglw
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 45/200 - Loss: 0.2855, Val Acc: 57.34%, Head: 67.86%, Med: 15.25%, Tail: 0.00%
[adam] Epoch 46/200 - Loss: 0.2897, Val Acc: 57.06%, Head: 66.12%, Med: 20.80%, Tail: 0.00%
[adam] Epoch 47/200 - Loss: 0.2794, Val Acc: 57.55%, Head: 67.55%, Med: 17.55%, Tail: 0.00%
[adam] Epoch 48/200 - Loss: 0.2655, Val Acc: 53.78%, Head: 62.76%, Med: 17.85%, Tail: 0.00%
[adam] Epoch 49/200 - Loss: 0.2625, Val Acc: 60.34%, Head: 67.24%, Med: 32.75%, Tail: 0.00%
[adam] Epoch 50/200 - Loss: 0.2579, Val Acc: 61.04%, Head: 68.36%, Med: 31.75%, Tail: 0.00%
[adam] Epoch 51/200 - Loss: 0.2464, Val Acc: 56.31%, Head: 65.54%, Med: 19.40%, Tail: 0.00%
[adam] Epoch 52/200 - Loss: 0.2311, Val Acc: 58.28%, Head: 64.66%, Med: 32.75%, Tail: 0.00%
[adam] Epoch 53/200 - Loss: 0.2371, Val Acc: 56.92%, Head: 66.26%, Med: 19.55%, Tail: 0.00%
[adam] Epoch 54/200 - Loss: 0.2296, Val Acc: 56.81%, Head: 66.05%, Med: 19.85%, Tail: 0.00%
[adam] Epoch 55/200 - Loss: 0.2261, Val Acc: 56.34%, Head: 66.72%, Med: 14.80%, Tail: 0.00%
[adam] Epoch 56/200 - Loss: 0.2143, Val Acc: 59.22%, Head: 65.74%, Med: 33.15%, Tail: 0.00%
[adam] Epoch 57/200 - Loss: 0.2169, Val Acc: 58.45%, Head: 67.60%, Med: 21.85%, Tail: 0.00%
[adam] Epoch 58/200 - Loss: 0.2139, Val Acc: 57.75%, Head: 65.66%, Med: 26.10%, Tail: 0.00%
[adam] Epoch 59/200 - Loss: 0.2006, Val Acc: 58.69%, Head: 68.36%, Med: 20.00%, Tail: 0.00%
[adam] Epoch 60/200 - Loss: 0.2024, Val Acc: 56.79%, Head: 65.47%, Med: 22.05%, Tail: 0.00%
