epoch,loss,val_acc
1,2.6975,10.39
2,1.633,23.63
3,1.2044,26.39
4,1.0498,26.97
5,1.0003,28.23
6,1.0188,29.49
7,0.9384,29.39
8,0.8481,31.67
9,0.8007,34.6
10,0.7485,37.16
11,0.7158,33.88
12,0.6997,39.12
13,0.6616,40.02
14,0.6616,39.89
15,0.6677,38.56
16,0.6304,37.69
17,0.6617,42.16
18,0.5759,43.42
19,0.5488,45.2
20,0.5229,46.34
21,0.5011,48.45
22,0.4759,52.09
23,0.4871,49.29
24,0.4703,49.64
25,0.4511,51.8
26,0.4207,53.53
27,0.3926,54.45
28,0.3841,54.01
29,0.3675,54.08
30,0.3529,59.4
31,0.3329,58.79
32,0.3456,58.66
33,0.3251,56.17
34,0.3462,53.67
35,0.3248,57.03
36,0.2887,59.08
37,0.2849,53.68
38,0.2675,56.53
39,0.2632,55.54
40,0.2489,58.93
41,0.2362,58.56
42,0.2251,58.71
43,0.2189,58.22
44,0.2085,56.73
45,0.2085,57.9
46,0.2032,60.13
47,0.1839,58.46
48,0.1798,58.03
49,0.1752,57.0
50,0.1802,58.96
51,0.1803,56.42
52,0.1541,58.72
53,0.1509,61.59
54,0.1393,58.44
55,0.1482,60.31
56,0.1333,60.33
57,0.1312,60.7
58,0.1216,58.57
59,0.124,61.49
60,0.113,59.88
61,0.1036,57.85
62,0.1149,60.18
63,0.1062,59.89
64,0.0986,59.81
65,0.1043,58.09
66,0.1331,60.57
67,0.0965,58.67
68,0.0963,60.26
69,0.0918,60.93
70,0.0757,60.17
71,0.0766,60.96
72,0.0902,58.85
73,0.1312,57.53
74,0.101,61.03
75,0.0802,60.15
76,0.0667,58.75
77,0.0738,58.69
78,0.063,62.49
79,0.069,61.34
80,0.051,59.36
81,0.0625,61.66
82,0.0543,59.4
83,0.058,58.87
84,0.0529,59.63
85,0.0531,62.01
86,0.0525,59.84
87,0.0482,61.01
88,0.0432,58.44
89,0.0442,61.62
90,0.0466,59.65
91,0.0415,60.44
92,0.0413,60.98
93,0.0353,59.46
94,0.0442,62.78
95,0.0474,59.96
96,0.0353,61.1
97,0.0322,61.51
98,0.0342,60.05
99,0.0344,59.79
100,0.0305,61.34
101,0.0304,59.45
102,0.0266,59.73
103,0.0267,58.63
104,0.0312,60.15
105,0.0246,61.93
106,0.0252,59.86
107,0.0219,61.92
108,0.0174,60.6
109,0.0223,59.91
110,0.0218,62.49
111,0.0239,58.19
112,0.0188,61.26
113,0.0217,59.87
114,0.0233,61.06
115,0.018,61.17
116,0.0222,59.43
117,0.0207,61.23
118,0.0158,62.33
119,0.0126,59.13
120,0.032,59.68
121,0.0141,60.58
122,0.0137,60.91
123,0.0152,60.58
124,0.0131,60.5
125,0.0126,61.44
126,0.0121,62.08
127,0.0106,59.41
128,0.014,61.13
129,0.0129,59.09
130,0.0113,60.86
131,0.0088,60.53
132,0.0104,60.1
133,0.0078,59.18
134,0.0075,60.19
135,0.006,60.96
136,0.0068,61.18
137,0.0077,60.61
138,0.007,60.49
139,0.0064,61.67
140,0.0049,60.72
141,0.0059,60.44
142,0.0055,60.98
143,0.0064,59.68
144,0.0045,62.45
145,0.0052,61.58
146,0.0057,61.35
147,0.0047,61.53
148,0.0075,61.22
149,0.0052,61.35
150,0.0037,60.32
151,0.0045,61.85
152,0.0039,61.5
153,0.0034,61.89
154,0.003,61.92
155,0.0046,61.55
156,0.0029,61.39
157,0.0026,62.16
158,0.0019,61.84
159,0.0022,60.83
160,0.0036,61.33
161,0.0015,61.17
162,0.0014,61.22
163,0.0018,61.17
164,0.0014,61.05
165,0.0018,61.68
166,0.0006,61.46
167,0.0015,61.71
168,0.0015,61.72
169,0.0014,61.51
170,0.0012,62.1
171,0.0004,62.07
172,0.0009,62.5
173,0.001,61.82
174,0.0014,61.9
175,0.0007,61.52
176,0.0006,62.38
177,0.0002,62.23
178,0.0012,62.1
179,0.0014,61.65
180,0.0007,60.86
181,0.0007,61.29
182,0.0005,61.17
183,0.0008,61.35
184,0.0011,61.39
185,0.0004,61.64
186,0.0008,61.56
187,0.0014,61.31
188,0.0005,61.13
189,0.0004,61.31
190,0.0003,61.31
191,0.0007,61.67
192,0.0004,61.86
193,0.0003,61.49
194,0.0004,61.84
195,0.0005,61.6
196,0.0001,61.74
197,0.0005,61.32
198,0.001,61.49
199,0.0002,61.37
200,0.0006,61.57
