epoch,loss,val_acc
1,1.5111,18.59
2,1.2595,24.12
3,1.1527,25.38
4,1.0788,24.3
5,1.0301,28.74
6,1.0051,29.85
7,0.9704,33.07
8,0.9401,27.97
9,0.9263,28.42
10,0.8856,28.94
11,0.868,34.41
12,0.843,32.84
13,0.8402,34.52
14,0.8184,35.27
15,0.8132,32.23
16,0.7931,35.59
17,0.7818,40.56
18,0.7648,35.13
19,0.762,36.46
20,0.7425,37.68
21,0.7329,35.57
22,0.7195,37.47
23,0.706,39.63
24,0.6932,41.76
25,0.6826,38.1
26,0.672,41.21
27,0.6594,38.18
28,0.6443,41.49
29,0.6362,41.98
30,0.6239,43.06
31,0.616,40.41
32,0.5976,43.3
33,0.5884,43.59
34,0.5809,42.87
35,0.5553,45.82
36,0.5469,41.33
37,0.5395,43.23
38,0.5471,44.53
39,0.5101,44.15
40,0.5042,41.11
41,0.4842,46.51
42,0.4746,43.6
43,0.466,45.44
44,0.4476,46.9
45,0.4407,41.79
46,0.423,44.14
47,0.4025,44.54
48,0.3828,45.82
49,0.3651,47.12
50,0.3606,47.83
51,0.3339,45.7
52,0.3299,46.38
53,0.3251,45.85
54,0.2933,46.82
55,0.2854,48.26
56,0.2676,48.01
57,0.255,47.98
58,0.2419,44.86
59,0.2241,46.56
60,0.2155,47.01
61,0.2008,44.66
62,0.2052,47.06
63,0.1836,47.24
64,0.1761,47.03
65,0.1569,47.17
66,0.1674,44.7
67,0.1511,44.8
68,0.1529,46.65
69,0.1288,45.8
70,0.1372,47.17
71,0.1171,46.68
72,0.1208,46.31
73,0.1157,48.08
74,0.1113,47.69
75,0.1054,47.8
76,0.0983,47.41
77,0.0921,48.93
78,0.0941,45.34
79,0.0847,46.38
80,0.0788,46.32
81,0.0797,45.99
82,0.0777,48.4
83,0.0634,47.72
84,0.0721,46.34
85,0.0633,44.81
86,0.0657,46.7
87,0.0622,48.27
88,0.0581,44.73
89,0.0588,47.72
90,0.0554,46.92
91,0.0579,47.09
92,0.0479,45.78
93,0.0499,46.05
94,0.0534,47.23
95,0.0513,46.85
96,0.0403,46.49
97,0.0404,45.9
98,0.042,46.22
99,0.0417,45.45
100,0.0323,45.5
101,0.0354,46.94
102,0.0394,46.55
103,0.0339,47.26
104,0.0399,47.95
105,0.0339,46.0
106,0.0337,47.89
107,0.0304,46.03
108,0.0228,47.94
109,0.021,47.18
110,0.0282,47.55
111,0.0253,47.19
112,0.0234,46.53
113,0.0214,45.26
114,0.0161,46.41
115,0.0157,45.9
116,0.0177,47.54
117,0.0138,46.6
118,0.0164,46.24
119,0.0126,46.28
120,0.012,47.34
121,0.0152,47.29
122,0.0151,47.14
123,0.0108,45.71
124,0.0137,46.31
125,0.0113,45.1
126,0.0091,45.21
127,0.0101,46.82
128,0.0081,46.7
129,0.0097,46.94
130,0.0078,45.77
131,0.0097,46.73
132,0.0082,45.92
133,0.0103,46.42
134,0.006,46.59
135,0.0067,46.94
136,0.0068,47.45
137,0.0054,46.67
138,0.0044,46.86
139,0.0038,46.67
140,0.0035,47.33
141,0.0038,47.44
142,0.0038,46.39
143,0.0035,47.47
144,0.002,46.61
145,0.0034,45.54
146,0.0028,48.05
147,0.0017,47.19
148,0.0017,48.46
149,0.0009,47.04
150,0.0013,47.08
151,0.0026,47.86
152,0.0018,47.28
153,0.002,47.82
154,0.0019,46.95
155,0.0011,47.78
156,0.0015,46.97
157,0.0015,47.08
158,0.0017,47.69
159,0.0014,47.53
160,0.0012,48.11
161,0.0008,46.85
162,0.0011,47.28
163,0.0014,46.25
164,0.0008,47.01
165,0.0007,46.7
166,0.0003,47.34
167,0.0009,46.52
168,0.0012,46.89
169,0.0006,46.96
170,0.0004,47.1
171,0.0003,46.93
172,0.0001,46.95
173,0.0005,47.1
174,0.0003,47.19
175,0.0006,47.26
176,0.0003,46.83
177,0.0003,47.4
178,0.0002,47.0
179,0.0005,47.01
180,0.0002,47.12
181,0.0001,47.23
182,0.0007,47.61
183,0.0001,47.53
184,0.0004,47.11
185,0.0001,47.16
186,0.0002,47.02
187,0.0002,47.16
188,0.0001,47.2
189,0.0001,47.18
190,0.0001,47.21
191,0.0001,47.19
192,0.0001,47.17
193,0.0003,47.3
194,0.0002,47.29
195,0.0001,47.22
196,0.0001,47.23
197,0.0001,47.27
198,0.0002,47.28
199,0.0001,47.28
200,0.0001,47.27
