epoch,loss,val_acc
1,2.1028,17.13
2,1.2718,28.17
3,1.1073,27.37
4,1.0089,30.13
5,0.9495,30.61
6,0.8979,32.57
7,0.8449,34.11
8,0.7967,36.63
9,0.7602,40.56
10,0.7329,39.49
11,0.6806,39.85
12,0.652,42.71
13,0.6302,40.82
14,0.6133,44.62
15,0.581,44.22
16,0.5648,47.69
17,0.5533,47.08
18,0.5306,51.41
19,0.5069,49.83
20,0.4936,45.46
21,0.4871,53.15
22,0.4677,48.81
23,0.4564,51.01
24,0.4351,53.55
25,0.4182,53.31
26,0.4186,53.72
27,0.3952,54.5
28,0.3917,55.78
29,0.3736,48.38
30,0.3632,54.41
31,0.354,53.89
32,0.3382,54.89
33,0.3414,56.7
34,0.3214,56.27
35,0.3134,54.8
36,0.2957,58.25
37,0.2827,58.26
38,0.2866,52.32
39,0.2773,58.9
40,0.2627,55.96
41,0.2522,58.05
42,0.2399,56.93
43,0.2402,56.58
44,0.2344,56.2
45,0.2326,57.81
46,0.2213,56.82
47,0.2229,59.43
48,0.1981,56.51
49,0.2,57.78
50,0.2055,60.62
51,0.197,57.82
52,0.1874,54.35
53,0.18,58.13
54,0.1779,56.21
55,0.166,56.95
56,0.1626,58.73
57,0.1504,55.7
58,0.1456,57.53
59,0.1461,57.42
60,0.1366,55.92
61,0.1336,57.97
62,0.1317,58.96
63,0.1226,57.23
64,0.1188,55.13
65,0.1222,55.39
66,0.1168,56.98
67,0.1084,56.34
68,0.1046,59.63
69,0.1054,56.95
70,0.0947,58.06
71,0.1026,56.63
72,0.0985,59.36
73,0.0949,58.27
74,0.0943,57.18
75,0.0881,57.94
76,0.0858,57.7
77,0.0829,56.29
78,0.0833,58.6
79,0.0726,56.91
80,0.0696,58.95
81,0.0657,57.2
82,0.0736,59.41
83,0.0694,56.64
84,0.0686,58.09
85,0.0664,57.76
86,0.0677,58.54
87,0.0576,57.46
88,0.0637,56.95
89,0.0571,57.7
90,0.0547,57.55
91,0.0512,57.09
92,0.0532,56.9
93,0.0546,58.8
94,0.0518,59.83
95,0.049,56.42
96,0.0539,57.55
97,0.0474,57.19
98,0.0438,56.92
99,0.044,59.85
100,0.0399,56.32
101,0.0353,58.03
102,0.0378,57.91
103,0.0351,58.88
104,0.0394,59.11
105,0.0424,58.65
106,0.033,58.2
107,0.039,58.89
108,0.0379,57.08
109,0.0345,57.55
110,0.029,58.27
111,0.0247,57.62
112,0.022,57.03
113,0.0249,57.55
114,0.0277,59.41
115,0.0311,58.25
116,0.0281,59.94
117,0.0219,59.96
118,0.0237,58.91
119,0.0189,58.11
120,0.0267,58.58
121,0.0232,57.85
122,0.0177,56.88
123,0.0171,59.16
124,0.0194,57.68
125,0.0183,58.61
126,0.0171,58.64
127,0.0167,58.5
128,0.0148,58.31
129,0.0193,59.4
130,0.0176,58.5
131,0.0144,59.42
132,0.0125,58.14
133,0.0121,59.23
134,0.0113,59.21
135,0.0126,58.84
136,0.0109,59.22
137,0.013,59.89
138,0.0119,59.4
139,0.0104,58.81
140,0.0118,56.95
141,0.0113,57.75
142,0.009,58.61
143,0.0099,58.76
144,0.0084,59.47
145,0.0061,59.45
146,0.0059,59.38
147,0.0078,59.7
148,0.0093,59.52
149,0.0056,58.88
150,0.0072,58.82
151,0.0064,59.23
152,0.0063,59.42
153,0.0052,59.23
154,0.0062,59.84
155,0.0056,59.45
156,0.0038,58.53
157,0.004,59.55
158,0.0061,59.06
159,0.0042,59.81
160,0.0047,59.42
161,0.0039,58.75
162,0.0034,58.72
163,0.0036,59.09
164,0.0039,59.36
165,0.0042,59.23
166,0.0038,58.54
167,0.0043,58.86
168,0.0019,58.84
169,0.0019,58.82
170,0.0023,59.15
171,0.0031,59.87
172,0.0029,59.28
173,0.0022,59.27
174,0.0027,59.19
175,0.0028,59.21
176,0.0025,59.13
177,0.0038,59.34
178,0.0018,58.86
179,0.0022,59.35
180,0.0026,58.88
181,0.0015,59.28
182,0.0017,59.05
183,0.0018,58.95
184,0.0016,59.17
185,0.0016,58.71
186,0.0018,58.52
187,0.0016,59.11
188,0.0019,58.89
189,0.0015,58.99
190,0.0016,58.83
191,0.0019,58.77
192,0.0014,58.9
193,0.0018,58.44
194,0.0016,58.74
195,0.0016,58.73
196,0.0013,59.08
197,0.0015,59.05
198,0.0018,59.14
199,0.0012,58.65
200,0.0008,58.64
