nohup: ignoring input
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
/home/gauranshi/miniconda3/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/gauranshi/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run k45kwifk
wandb: Tracking run with wandb version 0.28.2
wandb: Run data is saved locally in /home/gauranshi/Trinity-opt-DSAA2026/wandb/run-20260904_120600-k45kwifk
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ViT_cifar10_imb0.01
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/Trinity-Benchmark
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/Trinity-Benchmark/runs/k45kwifk
sys:1: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
Epoch 44/200 - Loss: 0.9305, Val Acc: 29.74%, Head: 37.17%, Med: 0.00%, Tail: 0.00%
Epoch 45/200 - Loss: 0.9180, Val Acc: 30.15%, Head: 37.69%, Med: 0.00%, Tail: 0.00%
Epoch 46/200 - Loss: 0.9127, Val Acc: 30.64%, Head: 38.30%, Med: 0.00%, Tail: 0.00%
Epoch 47/200 - Loss: 0.9133, Val Acc: 32.05%, Head: 40.06%, Med: 0.00%, Tail: 0.00%
Epoch 48/200 - Loss: 0.9096, Val Acc: 35.78%, Head: 44.64%, Med: 0.35%, Tail: 0.00%
Epoch 49/200 - Loss: 0.8948, Val Acc: 33.12%, Head: 41.38%, Med: 0.10%, Tail: 0.00%
Epoch 50/200 - Loss: 0.9009, Val Acc: 33.98%, Head: 42.48%, Med: 0.00%, Tail: 0.00%
Epoch 51/200 - Loss: 0.8991, Val Acc: 30.32%, Head: 37.89%, Med: 0.05%, Tail: 0.00%
Epoch 52/200 - Loss: 0.8988, Val Acc: 35.52%, Head: 44.40%, Med: 0.00%, Tail: 0.00%
Epoch 53/200 - Loss: 0.8836, Val Acc: 33.28%, Head: 41.58%, Med: 0.10%, Tail: 0.00%
Epoch 54/200 - Loss: 0.8781, Val Acc: 35.64%, Head: 44.50%, Med: 0.20%, Tail: 0.00%
Epoch 55/200 - Loss: 0.8848, Val Acc: 32.05%, Head: 40.00%, Med: 0.25%, Tail: 0.00%
Epoch 56/200 - Loss: 0.8736, Val Acc: 34.27%, Head: 42.81%, Med: 0.10%, Tail: 0.00%
Epoch 57/200 - Loss: 0.8628, Val Acc: 34.33%, Head: 42.91%, Med: 0.00%, Tail: 0.00%
Epoch 58/200 - Loss: 0.8837, Val Acc: 32.49%, Head: 40.61%, Med: 0.00%, Tail: 0.00%
Epoch 59/200 - Loss: 0.8669, Val Acc: 35.69%, Head: 44.60%, Med: 0.05%, Tail: 0.00%
Epoch 60/200 - Loss: 0.8712, Val Acc: 33.46%, Head: 41.81%, Med: 0.05%, Tail: 0.00%
Epoch 61/200 - Loss: 0.8587, Val Acc: 33.75%, Head: 42.11%, Med: 0.30%, Tail: 0.00%
Epoch 62/200 - Loss: 0.8507, Val Acc: 33.29%, Head: 41.60%, Med: 0.05%, Tail: 0.00%
Epoch 63/200 - Loss: 0.8536, Val Acc: 33.80%, Head: 42.17%, Med: 0.30%, Tail: 0.00%
Epoch 64/200 - Loss: 0.8535, Val Acc: 33.10%, Head: 41.38%, Med: 0.00%, Tail: 0.00%
Epoch 65/200 - Loss: 0.8501, Val Acc: 34.79%, Head: 43.40%, Med: 0.35%, Tail: 0.00%
Epoch 66/200 - Loss: 0.8517, Val Acc: 33.71%, Head: 42.12%, Med: 0.05%, Tail: 0.00%
Epoch 67/200 - Loss: 0.8461, Val Acc: 35.81%, Head: 44.65%, Med: 0.45%, Tail: 0.00%
Epoch 68/200 - Loss: 0.8365, Val Acc: 37.13%, Head: 46.41%, Med: 0.00%, Tail: 0.00%
Epoch 69/200 - Loss: 0.8505, Val Acc: 36.96%, Head: 46.20%, Med: 0.00%, Tail: 0.00%
Epoch 70/200 - Loss: 0.8243, Val Acc: 35.45%, Head: 43.95%, Med: 1.45%, Tail: 0.00%
Epoch 71/200 - Loss: 0.8323, Val Acc: 35.76%, Head: 44.67%, Med: 0.10%, Tail: 0.00%
Epoch 72/200 - Loss: 0.8319, Val Acc: 34.85%, Head: 43.34%, Med: 0.90%, Tail: 0.00%
Epoch 73/200 - Loss: 0.8229, Val Acc: 37.13%, Head: 46.41%, Med: 0.00%, Tail: 0.00%
Epoch 74/200 - Loss: 0.8090, Val Acc: 36.08%, Head: 45.09%, Med: 0.05%, Tail: 0.00%
Epoch 75/200 - Loss: 0.8118, Val Acc: 37.13%, Head: 46.41%, Med: 0.00%, Tail: 0.00%
Epoch 76/200 - Loss: 0.8152, Val Acc: 35.75%, Head: 44.56%, Med: 0.50%, Tail: 0.00%
Epoch 77/200 - Loss: 0.8135, Val Acc: 34.25%, Head: 42.55%, Med: 1.05%, Tail: 0.00%
Epoch 78/200 - Loss: 0.8016, Val Acc: 39.34%, Head: 48.99%, Med: 0.75%, Tail: 0.00%
Epoch 79/200 - Loss: 0.7947, Val Acc: 40.00%, Head: 49.23%, Med: 3.10%, Tail: 0.00%
Epoch 80/200 - Loss: 0.7986, Val Acc: 36.34%, Head: 45.26%, Med: 0.65%, Tail: 0.00%
Epoch 81/200 - Loss: 0.7996, Val Acc: 38.29%, Head: 47.75%, Med: 0.45%, Tail: 0.00%
Epoch 82/200 - Loss: 0.7788, Val Acc: 38.73%, Head: 48.24%, Med: 0.70%, Tail: 0.00%
Epoch 83/200 - Loss: 0.7724, Val Acc: 42.42%, Head: 52.19%, Med: 3.35%, Tail: 0.00%
Epoch 84/200 - Loss: 0.7759, Val Acc: 38.20%, Head: 47.59%, Med: 0.65%, Tail: 0.00%
Epoch 85/200 - Loss: 0.7622, Val Acc: 43.18%, Head: 53.31%, Med: 2.65%, Tail: 0.00%
Epoch 86/200 - Loss: 0.7694, Val Acc: 39.81%, Head: 49.67%, Med: 0.35%, Tail: 0.00%
Epoch 87/200 - Loss: 0.7614, Val Acc: 39.17%, Head: 48.84%, Med: 0.50%, Tail: 0.00%
