nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run do7o152i
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_065752-do7o152i
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer/runs/do7o152i
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 44/200 - Loss: 0.8216, Val Acc: 34.64%, Head: 43.12%, Med: 0.70%, Tail: 0.00%
[adam] Epoch 45/200 - Loss: 0.8267, Val Acc: 32.94%, Head: 41.17%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 46/200 - Loss: 0.8190, Val Acc: 35.11%, Head: 43.89%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 47/200 - Loss: 0.8170, Val Acc: 36.37%, Head: 45.46%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 48/200 - Loss: 0.8128, Val Acc: 30.45%, Head: 38.06%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 49/200 - Loss: 0.7931, Val Acc: 36.47%, Head: 45.56%, Med: 0.10%, Tail: 0.00%
[adam] Epoch 50/200 - Loss: 0.7921, Val Acc: 35.09%, Head: 43.77%, Med: 0.35%, Tail: 0.00%
[adam] Epoch 51/200 - Loss: 0.7892, Val Acc: 36.60%, Head: 45.70%, Med: 0.20%, Tail: 0.00%
[adam] Epoch 52/200 - Loss: 0.7843, Val Acc: 36.96%, Head: 46.19%, Med: 0.05%, Tail: 0.00%
[adam] Epoch 53/200 - Loss: 0.7804, Val Acc: 36.30%, Head: 45.33%, Med: 0.20%, Tail: 0.00%
[adam] Epoch 54/200 - Loss: 0.7714, Val Acc: 39.77%, Head: 49.12%, Med: 2.35%, Tail: 0.00%
[adam] Epoch 55/200 - Loss: 0.7597, Val Acc: 34.76%, Head: 43.39%, Med: 0.25%, Tail: 0.00%
[adam] Epoch 56/200 - Loss: 0.7626, Val Acc: 38.69%, Head: 47.84%, Med: 2.10%, Tail: 0.00%
[adam] Epoch 57/200 - Loss: 0.7631, Val Acc: 37.89%, Head: 47.30%, Med: 0.25%, Tail: 0.00%
[adam] Epoch 58/200 - Loss: 0.7596, Val Acc: 39.02%, Head: 48.50%, Med: 1.10%, Tail: 0.00%
