nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run oo6mx125
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_022239-oo6mx125
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run trinity
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/oo6mx125
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[Trinity] d_max=2400: 63.354% of trackable parameters permanently excluded from K-FAC (kept on AdamW).
<sys>:0: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
[trinity] Epoch 41/200 - Loss: 0.2187, Val Acc: 61.38%, Head: 68.66%, Med: 32.25%, Tail: 0.00%
[trinity] Epoch 42/200 - Loss: 0.2188, Val Acc: 58.15%, Head: 67.38%, Med: 21.25%, Tail: 0.00%
[trinity] Epoch 43/200 - Loss: 0.2050, Val Acc: 59.61%, Head: 67.65%, Med: 27.45%, Tail: 0.00%
[trinity] Epoch 44/200 - Loss: 0.1952, Val Acc: 59.99%, Head: 67.96%, Med: 28.10%, Tail: 0.00%
[trinity] Epoch 45/200 - Loss: 0.1907, Val Acc: 59.77%, Head: 68.08%, Med: 26.55%, Tail: 0.00%
[trinity] Epoch 46/200 - Loss: 0.1940, Val Acc: 58.72%, Head: 67.01%, Med: 25.55%, Tail: 0.00%
[trinity] Epoch 47/200 - Loss: 0.1823, Val Acc: 60.76%, Head: 68.04%, Med: 31.65%, Tail: 0.00%
[trinity] Epoch 48/200 - Loss: 0.1820, Val Acc: 58.60%, Head: 66.74%, Med: 26.05%, Tail: 0.00%
[trinity] Epoch 49/200 - Loss: 0.1644, Val Acc: 58.68%, Head: 68.42%, Med: 19.70%, Tail: 0.00%
[trinity] Epoch 50/200 - Loss: 0.1743, Val Acc: 57.09%, Head: 68.01%, Med: 13.40%, Tail: 0.00%
[trinity] Epoch 51/200 - Loss: 0.1516, Val Acc: 57.13%, Head: 65.72%, Med: 22.75%, Tail: 0.00%
[trinity] Epoch 52/200 - Loss: 0.1507, Val Acc: 58.01%, Head: 68.20%, Med: 17.25%, Tail: 0.00%
[trinity] Epoch 53/200 - Loss: 0.1528, Val Acc: 58.20%, Head: 65.65%, Med: 28.40%, Tail: 0.00%
[trinity] Epoch 54/200 - Loss: 0.1512, Val Acc: 58.56%, Head: 66.97%, Med: 24.90%, Tail: 0.00%
[trinity] Epoch 55/200 - Loss: 0.1332, Val Acc: 60.09%, Head: 68.10%, Med: 28.05%, Tail: 0.00%
[trinity] Epoch 56/200 - Loss: 0.1323, Val Acc: 58.45%, Head: 67.94%, Med: 20.50%, Tail: 0.00%
[trinity] Epoch 57/200 - Loss: 0.1299, Val Acc: 58.46%, Head: 67.19%, Med: 23.55%, Tail: 0.00%
[trinity] Epoch 58/200 - Loss: 0.1289, Val Acc: 58.04%, Head: 67.41%, Med: 20.55%, Tail: 0.00%
[trinity] Epoch 59/200 - Loss: 0.1140, Val Acc: 59.23%, Head: 68.74%, Med: 21.20%, Tail: 0.00%
[trinity] Epoch 60/200 - Loss: 0.1264, Val Acc: 59.81%, Head: 69.22%, Med: 22.15%, Tail: 0.00%
