nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run s7knrlz7
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_024022-s7knrlz7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/s7knrlz7
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 44/200 - Loss: 0.2664, Val Acc: 60.59%, Head: 67.90%, Med: 31.35%, Tail: 0.00%
[adam] Epoch 45/200 - Loss: 0.2683, Val Acc: 55.78%, Head: 65.38%, Med: 17.40%, Tail: 0.00%
[adam] Epoch 46/200 - Loss: 0.2556, Val Acc: 58.52%, Head: 67.61%, Med: 22.15%, Tail: 0.00%
[adam] Epoch 47/200 - Loss: 0.2533, Val Acc: 58.65%, Head: 68.96%, Med: 17.40%, Tail: 0.00%
[adam] Epoch 48/200 - Loss: 0.2546, Val Acc: 56.70%, Head: 65.88%, Med: 20.00%, Tail: 0.00%
[adam] Epoch 49/200 - Loss: 0.2365, Val Acc: 59.01%, Head: 67.84%, Med: 23.70%, Tail: 0.00%
[adam] Epoch 50/200 - Loss: 0.2315, Val Acc: 56.18%, Head: 64.42%, Med: 23.20%, Tail: 0.00%
[adam] Epoch 51/200 - Loss: 0.2374, Val Acc: 55.60%, Head: 63.89%, Med: 22.45%, Tail: 0.00%
[adam] Epoch 52/200 - Loss: 0.2134, Val Acc: 58.29%, Head: 68.25%, Med: 18.45%, Tail: 0.00%
[adam] Epoch 53/200 - Loss: 0.2190, Val Acc: 56.01%, Head: 64.16%, Med: 23.40%, Tail: 0.00%
[adam] Epoch 54/200 - Loss: 0.2151, Val Acc: 56.13%, Head: 66.71%, Med: 13.80%, Tail: 0.00%
[adam] Epoch 55/200 - Loss: 0.2179, Val Acc: 56.71%, Head: 66.88%, Med: 16.05%, Tail: 0.00%
[adam] Epoch 56/200 - Loss: 0.1991, Val Acc: 58.68%, Head: 67.61%, Med: 22.95%, Tail: 0.00%
[adam] Epoch 57/200 - Loss: 0.1990, Val Acc: 60.14%, Head: 66.64%, Med: 34.15%, Tail: 0.00%
[adam] Epoch 58/200 - Loss: 0.1981, Val Acc: 57.44%, Head: 65.55%, Med: 25.00%, Tail: 0.00%
