nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run jz1a10si
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073641-jz1a10si
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rmsprop
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/jz1a10si
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[rmsprop] Epoch 42/200 - Loss: 0.3867, Val Acc: 44.40%, Head: 55.50%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 43/200 - Loss: 0.3867, Val Acc: 46.76%, Head: 58.45%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 44/200 - Loss: 0.3698, Val Acc: 49.42%, Head: 61.77%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 45/200 - Loss: 0.3574, Val Acc: 48.22%, Head: 60.27%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 46/200 - Loss: 0.3473, Val Acc: 49.46%, Head: 61.83%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 47/200 - Loss: 0.3382, Val Acc: 47.70%, Head: 59.62%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 48/200 - Loss: 0.3354, Val Acc: 47.43%, Head: 59.23%, Med: 0.25%, Tail: 0.00%
[rmsprop] Epoch 49/200 - Loss: 0.3211, Val Acc: 47.55%, Head: 59.35%, Med: 0.35%, Tail: 0.00%
[rmsprop] Epoch 50/200 - Loss: 0.3174, Val Acc: 49.82%, Head: 62.21%, Med: 0.25%, Tail: 0.00%
[rmsprop] Epoch 51/200 - Loss: 0.3066, Val Acc: 48.12%, Head: 59.69%, Med: 1.85%, Tail: 0.00%
[rmsprop] Epoch 52/200 - Loss: 0.3002, Val Acc: 50.04%, Head: 62.27%, Med: 1.10%, Tail: 0.00%
[rmsprop] Epoch 53/200 - Loss: 0.2964, Val Acc: 52.08%, Head: 63.95%, Med: 4.60%, Tail: 0.00%
[rmsprop] Epoch 54/200 - Loss: 0.2829, Val Acc: 50.97%, Head: 62.88%, Med: 3.35%, Tail: 0.00%
[rmsprop] Epoch 55/200 - Loss: 0.2810, Val Acc: 53.22%, Head: 65.91%, Med: 2.45%, Tail: 0.00%
[rmsprop] Epoch 56/200 - Loss: 0.2678, Val Acc: 49.04%, Head: 60.33%, Med: 3.90%, Tail: 0.00%
[rmsprop] Epoch 57/200 - Loss: 0.2660, Val Acc: 54.10%, Head: 66.00%, Med: 6.50%, Tail: 0.00%
[rmsprop] Epoch 58/200 - Loss: 0.2510, Val Acc: 52.32%, Head: 63.31%, Med: 8.35%, Tail: 0.00%
[rmsprop] Epoch 59/200 - Loss: 0.2483, Val Acc: 52.93%, Head: 64.05%, Med: 8.45%, Tail: 0.00%
[rmsprop] Epoch 60/200 - Loss: 0.2354, Val Acc: 53.10%, Head: 64.06%, Med: 9.25%, Tail: 0.00%
[rmsprop] Epoch 61/200 - Loss: 0.2468, Val Acc: 49.56%, Head: 60.31%, Med: 6.55%, Tail: 0.00%
[rmsprop] Epoch 62/200 - Loss: 0.2276, Val Acc: 51.05%, Head: 61.60%, Med: 8.85%, Tail: 0.00%
[rmsprop] Epoch 63/200 - Loss: 0.2212, Val Acc: 48.36%, Head: 59.49%, Med: 3.85%, Tail: 0.00%
[rmsprop] Epoch 64/200 - Loss: 0.2214, Val Acc: 50.07%, Head: 60.69%, Med: 7.60%, Tail: 0.00%
[rmsprop] Epoch 65/200 - Loss: 0.2178, Val Acc: 51.06%, Head: 61.84%, Med: 7.95%, Tail: 0.00%
[rmsprop] Epoch 66/200 - Loss: 0.2129, Val Acc: 54.20%, Head: 64.55%, Med: 12.80%, Tail: 0.00%
[rmsprop] Epoch 67/200 - Loss: 0.1976, Val Acc: 52.68%, Head: 64.33%, Med: 6.10%, Tail: 0.00%
[rmsprop] Epoch 68/200 - Loss: 0.2017, Val Acc: 51.85%, Head: 63.89%, Med: 3.70%, Tail: 0.00%
[rmsprop] Epoch 69/200 - Loss: 0.1972, Val Acc: 54.63%, Head: 65.41%, Med: 11.50%, Tail: 0.00%
[rmsprop] Epoch 70/200 - Loss: 0.1830, Val Acc: 52.91%, Head: 63.17%, Med: 11.85%, Tail: 0.00%
[rmsprop] Epoch 71/200 - Loss: 0.1678, Val Acc: 56.42%, Head: 66.24%, Med: 17.15%, Tail: 0.00%
[rmsprop] Epoch 72/200 - Loss: 0.1828, Val Acc: 52.79%, Head: 64.25%, Med: 6.95%, Tail: 0.00%
[rmsprop] Epoch 73/200 - Loss: 0.1789, Val Acc: 55.14%, Head: 65.59%, Med: 13.35%, Tail: 0.00%
[rmsprop] Epoch 74/200 - Loss: 0.1617, Val Acc: 51.79%, Head: 60.90%, Med: 15.35%, Tail: 0.00%
[rmsprop] Epoch 75/200 - Loss: 0.1630, Val Acc: 52.76%, Head: 63.15%, Med: 11.20%, Tail: 0.00%
[rmsprop] Epoch 76/200 - Loss: 0.1547, Val Acc: 55.99%, Head: 66.38%, Med: 14.45%, Tail: 0.00%
[rmsprop] Epoch 77/200 - Loss: 0.1562, Val Acc: 56.22%, Head: 65.86%, Med: 17.65%, Tail: 0.00%
[rmsprop] Epoch 78/200 - Loss: 0.1521, Val Acc: 55.29%, Head: 65.01%, Med: 16.40%, Tail: 0.00%
[rmsprop] Epoch 79/200 - Loss: 0.1412, Val Acc: 55.19%, Head: 65.76%, Med: 12.90%, Tail: 0.00%
[rmsprop] Epoch 80/200 - Loss: 0.1417, Val Acc: 55.55%, Head: 66.06%, Med: 13.50%, Tail: 0.00%
[rmsprop] Epoch 81/200 - Loss: 0.1347, Val Acc: 54.92%, Head: 65.69%, Med: 11.85%, Tail: 0.00%
[rmsprop] Epoch 82/200 - Loss: 0.1342, Val Acc: 54.15%, Head: 64.03%, Med: 14.65%, Tail: 0.00%
[rmsprop] Epoch 83/200 - Loss: 0.1367, Val Acc: 57.50%, Head: 68.05%, Med: 15.30%, Tail: 0.00%
[rmsprop] Epoch 84/200 - Loss: 0.1337, Val Acc: 53.28%, Head: 62.92%, Med: 14.70%, Tail: 0.00%
