nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run b367s1ue
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073554-b367s1ue
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/b367s1ue
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 44/200 - Loss: 0.3382, Val Acc: 52.81%, Head: 63.09%, Med: 11.70%, Tail: 0.00%
[adam] Epoch 45/200 - Loss: 0.3158, Val Acc: 55.18%, Head: 64.26%, Med: 18.85%, Tail: 0.00%
[adam] Epoch 46/200 - Loss: 0.3126, Val Acc: 51.82%, Head: 63.60%, Med: 4.70%, Tail: 0.00%
[adam] Epoch 47/200 - Loss: 0.3046, Val Acc: 49.88%, Head: 59.46%, Med: 11.55%, Tail: 0.00%
[adam] Epoch 48/200 - Loss: 0.3014, Val Acc: 48.70%, Head: 58.83%, Med: 8.20%, Tail: 0.00%
[adam] Epoch 49/200 - Loss: 0.2892, Val Acc: 52.81%, Head: 62.98%, Med: 12.15%, Tail: 0.00%
[adam] Epoch 50/200 - Loss: 0.2785, Val Acc: 52.79%, Head: 63.06%, Med: 11.70%, Tail: 0.00%
[adam] Epoch 51/200 - Loss: 0.2720, Val Acc: 53.95%, Head: 65.60%, Med: 7.35%, Tail: 0.00%
[adam] Epoch 52/200 - Loss: 0.2559, Val Acc: 54.91%, Head: 65.59%, Med: 12.20%, Tail: 0.00%
[adam] Epoch 53/200 - Loss: 0.2639, Val Acc: 55.00%, Head: 64.60%, Med: 16.60%, Tail: 0.00%
[adam] Epoch 54/200 - Loss: 0.2419, Val Acc: 54.86%, Head: 65.62%, Med: 11.80%, Tail: 0.00%
[adam] Epoch 55/200 - Loss: 0.2455, Val Acc: 55.03%, Head: 65.91%, Med: 11.50%, Tail: 0.00%
[adam] Epoch 56/200 - Loss: 0.2311, Val Acc: 55.28%, Head: 64.81%, Med: 17.15%, Tail: 0.00%
[adam] Epoch 57/200 - Loss: 0.2323, Val Acc: 58.92%, Head: 68.54%, Med: 20.45%, Tail: 0.00%
[adam] Epoch 58/200 - Loss: 0.2196, Val Acc: 55.51%, Head: 67.15%, Med: 8.95%, Tail: 0.00%
[adam] Epoch 59/200 - Loss: 0.2180, Val Acc: 55.78%, Head: 67.09%, Med: 10.55%, Tail: 0.00%
[adam] Epoch 60/200 - Loss: 0.2012, Val Acc: 57.91%, Head: 68.58%, Med: 15.25%, Tail: 0.00%
[adam] Epoch 61/200 - Loss: 0.1895, Val Acc: 53.65%, Head: 65.33%, Med: 6.95%, Tail: 0.00%
[adam] Epoch 62/200 - Loss: 0.2020, Val Acc: 55.02%, Head: 64.58%, Med: 16.80%, Tail: 0.00%
[adam] Epoch 63/200 - Loss: 0.1860, Val Acc: 57.34%, Head: 67.94%, Med: 14.95%, Tail: 0.00%
[adam] Epoch 64/200 - Loss: 0.1790, Val Acc: 54.08%, Head: 65.39%, Med: 8.85%, Tail: 0.00%
[adam] Epoch 65/200 - Loss: 0.1749, Val Acc: 56.24%, Head: 66.91%, Med: 13.55%, Tail: 0.00%
[adam] Epoch 66/200 - Loss: 0.1672, Val Acc: 57.25%, Head: 66.91%, Med: 18.60%, Tail: 0.00%
[adam] Epoch 67/200 - Loss: 0.1716, Val Acc: 56.21%, Head: 64.65%, Med: 22.45%, Tail: 0.00%
[adam] Epoch 68/200 - Loss: 0.1687, Val Acc: 52.33%, Head: 63.61%, Med: 7.20%, Tail: 0.00%
[adam] Epoch 69/200 - Loss: 0.1589, Val Acc: 56.39%, Head: 65.16%, Med: 21.30%, Tail: 0.00%
[adam] Epoch 70/200 - Loss: 0.1551, Val Acc: 56.71%, Head: 67.56%, Med: 13.30%, Tail: 0.00%
[adam] Epoch 71/200 - Loss: 0.1450, Val Acc: 54.77%, Head: 64.49%, Med: 15.90%, Tail: 0.00%
[adam] Epoch 72/200 - Loss: 0.1445, Val Acc: 56.52%, Head: 66.14%, Med: 18.05%, Tail: 0.00%
[adam] Epoch 73/200 - Loss: 0.1428, Val Acc: 55.69%, Head: 64.92%, Med: 18.75%, Tail: 0.00%
[adam] Epoch 74/200 - Loss: 0.1299, Val Acc: 58.94%, Head: 67.33%, Med: 25.40%, Tail: 0.00%
[adam] Epoch 75/200 - Loss: 0.1350, Val Acc: 57.24%, Head: 66.21%, Med: 21.35%, Tail: 0.00%
[adam] Epoch 76/200 - Loss: 0.1261, Val Acc: 57.21%, Head: 68.40%, Med: 12.45%, Tail: 0.00%
[adam] Epoch 77/200 - Loss: 0.1303, Val Acc: 54.57%, Head: 65.15%, Med: 12.25%, Tail: 0.00%
[adam] Epoch 78/200 - Loss: 0.1159, Val Acc: 58.30%, Head: 67.06%, Med: 23.25%, Tail: 0.00%
[adam] Epoch 79/200 - Loss: 0.1143, Val Acc: 55.65%, Head: 65.92%, Med: 14.55%, Tail: 0.00%
