nohup: ignoring input
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/gauranshi/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run somsrgku
wandb: Tracking run with wandb version 0.28.2
wandb: Run data is saved locally in /home/gauranshi/Trinity-opt-DSAA2026/wandb/run-20260904_120624-somsrgku
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run WideResNet_cifar10_imb0.01
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/Trinity-Benchmark
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/Trinity-Benchmark/runs/somsrgku
sys:1: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
Epoch 46/200 - Loss: 0.1543, Val Acc: 58.76%, Head: 68.08%, Med: 21.50%, Tail: 0.00%
Epoch 47/200 - Loss: 0.1533, Val Acc: 61.10%, Head: 70.33%, Med: 24.20%, Tail: 0.00%
Epoch 48/200 - Loss: 0.1499, Val Acc: 60.70%, Head: 68.70%, Med: 28.70%, Tail: 0.00%
Epoch 49/200 - Loss: 0.1388, Val Acc: 59.49%, Head: 69.83%, Med: 18.15%, Tail: 0.00%
Epoch 50/200 - Loss: 0.1326, Val Acc: 59.55%, Head: 67.71%, Med: 26.90%, Tail: 0.00%
Epoch 51/200 - Loss: 0.1355, Val Acc: 60.97%, Head: 70.67%, Med: 22.15%, Tail: 0.00%
Epoch 52/200 - Loss: 0.1297, Val Acc: 59.17%, Head: 68.16%, Med: 23.20%, Tail: 0.00%
Epoch 53/200 - Loss: 0.1285, Val Acc: 59.59%, Head: 68.95%, Med: 22.15%, Tail: 0.00%
Epoch 54/200 - Loss: 0.1237, Val Acc: 60.18%, Head: 69.20%, Med: 24.10%, Tail: 0.00%
Epoch 55/200 - Loss: 0.1193, Val Acc: 57.07%, Head: 65.79%, Med: 22.20%, Tail: 0.00%
Epoch 56/200 - Loss: 0.1111, Val Acc: 60.96%, Head: 70.06%, Med: 24.55%, Tail: 0.00%
Epoch 57/200 - Loss: 0.1099, Val Acc: 60.29%, Head: 70.15%, Med: 20.85%, Tail: 0.00%
Epoch 58/200 - Loss: 0.1064, Val Acc: 57.97%, Head: 67.16%, Med: 21.20%, Tail: 0.00%
Epoch 59/200 - Loss: 0.1031, Val Acc: 58.53%, Head: 69.28%, Med: 15.55%, Tail: 0.00%
Epoch 60/200 - Loss: 0.0947, Val Acc: 60.19%, Head: 70.38%, Med: 19.45%, Tail: 0.00%
Epoch 61/200 - Loss: 0.0964, Val Acc: 60.06%, Head: 69.50%, Med: 22.30%, Tail: 0.00%
Epoch 62/200 - Loss: 0.0980, Val Acc: 60.83%, Head: 71.09%, Med: 19.80%, Tail: 0.00%
Epoch 63/200 - Loss: 0.0940, Val Acc: 58.31%, Head: 67.38%, Med: 22.05%, Tail: 0.00%
Epoch 64/200 - Loss: 0.0896, Val Acc: 61.93%, Head: 70.24%, Med: 28.70%, Tail: 0.00%
Epoch 65/200 - Loss: 0.0894, Val Acc: 63.31%, Head: 71.83%, Med: 29.25%, Tail: 0.00%
Epoch 66/200 - Loss: 0.0839, Val Acc: 60.94%, Head: 71.06%, Med: 20.45%, Tail: 0.00%
Epoch 67/200 - Loss: 0.0838, Val Acc: 57.45%, Head: 67.29%, Med: 18.10%, Tail: 0.00%
Epoch 68/200 - Loss: 0.0880, Val Acc: 60.80%, Head: 70.55%, Med: 21.80%, Tail: 0.00%
Epoch 69/200 - Loss: 0.0799, Val Acc: 60.24%, Head: 70.60%, Med: 18.80%, Tail: 0.00%
Epoch 70/200 - Loss: 0.0803, Val Acc: 59.70%, Head: 69.64%, Med: 19.95%, Tail: 0.00%
Epoch 71/200 - Loss: 0.0755, Val Acc: 59.42%, Head: 69.46%, Med: 19.25%, Tail: 0.00%
Epoch 72/200 - Loss: 0.0770, Val Acc: 62.51%, Head: 70.58%, Med: 30.25%, Tail: 0.00%
Epoch 73/200 - Loss: 0.0626, Val Acc: 62.93%, Head: 72.95%, Med: 22.85%, Tail: 0.00%
Epoch 74/200 - Loss: 0.0754, Val Acc: 60.76%, Head: 71.09%, Med: 19.45%, Tail: 0.00%
Epoch 75/200 - Loss: 0.0691, Val Acc: 61.78%, Head: 69.59%, Med: 30.55%, Tail: 0.00%
Epoch 76/200 - Loss: 0.0700, Val Acc: 59.67%, Head: 69.72%, Med: 19.45%, Tail: 0.00%
Epoch 77/200 - Loss: 0.0689, Val Acc: 58.68%, Head: 68.30%, Med: 20.20%, Tail: 0.00%
Epoch 78/200 - Loss: 0.0649, Val Acc: 61.18%, Head: 70.70%, Med: 23.10%, Tail: 0.00%
Epoch 79/200 - Loss: 0.0660, Val Acc: 60.21%, Head: 70.49%, Med: 19.10%, Tail: 0.00%
Epoch 80/200 - Loss: 0.0606, Val Acc: 61.23%, Head: 71.47%, Med: 20.25%, Tail: 0.00%
Epoch 81/200 - Loss: 0.0578, Val Acc: 60.23%, Head: 71.60%, Med: 14.75%, Tail: 0.00%
Epoch 82/200 - Loss: 0.0496, Val Acc: 62.06%, Head: 70.66%, Med: 27.65%, Tail: 0.00%
Epoch 83/200 - Loss: 0.0544, Val Acc: 59.96%, Head: 70.42%, Med: 18.10%, Tail: 0.00%
Epoch 84/200 - Loss: 0.0517, Val Acc: 61.56%, Head: 70.83%, Med: 24.50%, Tail: 0.00%
Epoch 85/200 - Loss: 0.0545, Val Acc: 61.10%, Head: 71.83%, Med: 18.20%, Tail: 0.00%
Epoch 86/200 - Loss: 0.0505, Val Acc: 59.90%, Head: 71.92%, Med: 11.80%, Tail: 0.00%
Epoch 87/200 - Loss: 0.0531, Val Acc: 59.63%, Head: 69.39%, Med: 20.60%, Tail: 0.00%
Epoch 88/200 - Loss: 0.0434, Val Acc: 59.24%, Head: 69.58%, Med: 17.90%, Tail: 0.00%
Epoch 89/200 - Loss: 0.0451, Val Acc: 56.90%, Head: 66.91%, Med: 16.85%, Tail: 0.00%
Epoch 90/200 - Loss: 0.0512, Val Acc: 61.08%, Head: 71.67%, Med: 18.70%, Tail: 0.00%
Epoch 91/200 - Loss: 0.0456, Val Acc: 59.63%, Head: 69.35%, Med: 20.75%, Tail: 0.00%
Epoch 92/200 - Loss: 0.0453, Val Acc: 60.19%, Head: 69.31%, Med: 23.70%, Tail: 0.00%
Epoch 93/200 - Loss: 0.0386, Val Acc: 59.88%, Head: 69.65%, Med: 20.80%, Tail: 0.00%
Epoch 94/200 - Loss: 0.0416, Val Acc: 59.61%, Head: 69.19%, Med: 21.30%, Tail: 0.00%
Epoch 95/200 - Loss: 0.0363, Val Acc: 61.29%, Head: 70.54%, Med: 24.30%, Tail: 0.00%
Epoch 96/200 - Loss: 0.0388, Val Acc: 64.20%, Head: 71.75%, Med: 34.00%, Tail: 0.00%
Epoch 97/200 - Loss: 0.0340, Val Acc: 61.59%, Head: 71.15%, Med: 23.35%, Tail: 0.00%
Epoch 98/200 - Loss: 0.0354, Val Acc: 61.11%, Head: 71.24%, Med: 20.60%, Tail: 0.00%
Epoch 99/200 - Loss: 0.0370, Val Acc: 60.10%, Head: 70.94%, Med: 16.75%, Tail: 0.00%
Epoch 100/200 - Loss: 0.0375, Val Acc: 59.57%, Head: 70.44%, Med: 16.10%, Tail: 0.00%
Epoch 101/200 - Loss: 0.0307, Val Acc: 60.83%, Head: 70.06%, Med: 23.90%, Tail: 0.00%
Epoch 102/200 - Loss: 0.0296, Val Acc: 58.14%, Head: 68.20%, Med: 17.90%, Tail: 0.00%
