nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 0oyw2ly1
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_024807-0oyw2ly1
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sgd
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/0oyw2ly1
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[sgd] Epoch 44/200 - Loss: 0.3612, Val Acc: 52.93%, Head: 62.75%, Med: 13.65%, Tail: 0.00%
[sgd] Epoch 45/200 - Loss: 0.3652, Val Acc: 56.59%, Head: 65.84%, Med: 19.60%, Tail: 0.00%
[sgd] Epoch 46/200 - Loss: 0.3663, Val Acc: 56.40%, Head: 65.95%, Med: 18.20%, Tail: 0.00%
[sgd] Epoch 47/200 - Loss: 0.3514, Val Acc: 52.21%, Head: 62.86%, Med: 9.60%, Tail: 0.00%
[sgd] Epoch 48/200 - Loss: 0.3523, Val Acc: 52.99%, Head: 61.81%, Med: 17.70%, Tail: 0.00%
[sgd] Epoch 49/200 - Loss: 0.3437, Val Acc: 58.34%, Head: 68.79%, Med: 16.55%, Tail: 0.00%
[sgd] Epoch 50/200 - Loss: 0.3462, Val Acc: 54.39%, Head: 62.38%, Med: 22.45%, Tail: 0.00%
[sgd] Epoch 51/200 - Loss: 0.3507, Val Acc: 53.10%, Head: 61.67%, Med: 18.80%, Tail: 0.00%
[sgd] Epoch 52/200 - Loss: 0.3412, Val Acc: 52.22%, Head: 61.86%, Med: 13.65%, Tail: 0.00%
[sgd] Epoch 53/200 - Loss: 0.3230, Val Acc: 50.89%, Head: 61.45%, Med: 8.65%, Tail: 0.00%
[sgd] Epoch 54/200 - Loss: 0.3323, Val Acc: 55.66%, Head: 64.46%, Med: 20.45%, Tail: 0.00%
[sgd] Epoch 55/200 - Loss: 0.3268, Val Acc: 44.30%, Head: 54.29%, Med: 4.35%, Tail: 0.00%
[sgd] Epoch 56/200 - Loss: 0.3178, Val Acc: 60.92%, Head: 69.42%, Med: 26.90%, Tail: 0.00%
[sgd] Epoch 57/200 - Loss: 0.3195, Val Acc: 56.48%, Head: 63.35%, Med: 29.00%, Tail: 0.00%
[sgd] Epoch 58/200 - Loss: 0.3203, Val Acc: 53.68%, Head: 63.45%, Med: 14.60%, Tail: 0.00%
[sgd] Epoch 59/200 - Loss: 0.3058, Val Acc: 59.54%, Head: 67.71%, Med: 26.85%, Tail: 0.00%
[sgd] Epoch 60/200 - Loss: 0.3110, Val Acc: 59.52%, Head: 65.56%, Med: 35.35%, Tail: 0.00%
[sgd] Epoch 61/200 - Loss: 0.3044, Val Acc: 51.67%, Head: 62.29%, Med: 9.20%, Tail: 0.00%
[sgd] Epoch 62/200 - Loss: 0.3017, Val Acc: 57.83%, Head: 67.08%, Med: 20.85%, Tail: 0.00%
[sgd] Epoch 63/200 - Loss: 0.2965, Val Acc: 53.71%, Head: 65.26%, Med: 7.50%, Tail: 0.00%
[sgd] Epoch 64/200 - Loss: 0.2936, Val Acc: 53.32%, Head: 63.11%, Med: 14.15%, Tail: 0.00%
[sgd] Epoch 65/200 - Loss: 0.2993, Val Acc: 54.47%, Head: 65.69%, Med: 9.60%, Tail: 0.00%
[sgd] Epoch 66/200 - Loss: 0.2805, Val Acc: 57.47%, Head: 66.97%, Med: 19.45%, Tail: 0.00%
[sgd] Epoch 67/200 - Loss: 0.2926, Val Acc: 62.92%, Head: 69.45%, Med: 36.80%, Tail: 0.00%
[sgd] Epoch 68/200 - Loss: 0.2744, Val Acc: 58.52%, Head: 66.58%, Med: 26.30%, Tail: 0.00%
[sgd] Epoch 69/200 - Loss: 0.2867, Val Acc: 56.16%, Head: 66.26%, Med: 15.75%, Tail: 0.00%
[sgd] Epoch 70/200 - Loss: 0.2765, Val Acc: 52.78%, Head: 61.88%, Med: 16.40%, Tail: 0.00%
[sgd] Epoch 71/200 - Loss: 0.2784, Val Acc: 58.39%, Head: 65.05%, Med: 31.75%, Tail: 0.00%
[sgd] Epoch 72/200 - Loss: 0.2713, Val Acc: 58.63%, Head: 68.25%, Med: 20.15%, Tail: 0.00%
[sgd] Epoch 73/200 - Loss: 0.2608, Val Acc: 56.58%, Head: 69.10%, Med: 6.50%, Tail: 0.00%
[sgd] Epoch 74/200 - Loss: 0.2699, Val Acc: 58.43%, Head: 67.62%, Med: 21.65%, Tail: 0.00%
[sgd] Epoch 75/200 - Loss: 0.2563, Val Acc: 61.56%, Head: 68.79%, Med: 32.65%, Tail: 0.00%
[sgd] Epoch 76/200 - Loss: 0.2623, Val Acc: 55.99%, Head: 62.59%, Med: 29.60%, Tail: 0.00%
[sgd] Epoch 77/200 - Loss: 0.2492, Val Acc: 56.45%, Head: 65.40%, Med: 20.65%, Tail: 0.00%
[sgd] Epoch 78/200 - Loss: 0.2607, Val Acc: 62.80%, Head: 69.49%, Med: 36.05%, Tail: 0.00%
[sgd] Epoch 79/200 - Loss: 0.2433, Val Acc: 57.64%, Head: 67.99%, Med: 16.25%, Tail: 0.00%
[sgd] Epoch 80/200 - Loss: 0.2347, Val Acc: 56.13%, Head: 61.49%, Med: 34.70%, Tail: 0.00%
[sgd] Epoch 81/200 - Loss: 0.2402, Val Acc: 61.16%, Head: 69.25%, Med: 28.80%, Tail: 0.00%
[sgd] Epoch 82/200 - Loss: 0.2374, Val Acc: 56.59%, Head: 66.05%, Med: 18.75%, Tail: 0.00%
[sgd] Epoch 83/200 - Loss: 0.2439, Val Acc: 60.68%, Head: 66.16%, Med: 38.75%, Tail: 0.00%
[sgd] Epoch 84/200 - Loss: 0.2301, Val Acc: 59.21%, Head: 68.42%, Med: 22.35%, Tail: 0.00%
[sgd] Epoch 85/200 - Loss: 0.2321, Val Acc: 56.40%, Head: 65.65%, Med: 19.40%, Tail: 0.00%
[sgd] Epoch 86/200 - Loss: 0.2191, Val Acc: 60.11%, Head: 68.96%, Med: 24.70%, Tail: 0.00%
[sgd] Epoch 87/200 - Loss: 0.2198, Val Acc: 57.16%, Head: 67.44%, Med: 16.05%, Tail: 0.00%
[sgd] Epoch 88/200 - Loss: 0.2275, Val Acc: 58.17%, Head: 68.19%, Med: 18.10%, Tail: 0.00%
[sgd] Epoch 89/200 - Loss: 0.2028, Val Acc: 61.16%, Head: 70.88%, Med: 22.30%, Tail: 0.00%
[sgd] Epoch 90/200 - Loss: 0.2052, Val Acc: 57.63%, Head: 68.15%, Med: 15.55%, Tail: 0.00%
[sgd] Epoch 91/200 - Loss: 0.2151, Val Acc: 61.14%, Head: 67.86%, Med: 34.25%, Tail: 0.00%
[sgd] Epoch 92/200 - Loss: 0.2126, Val Acc: 56.62%, Head: 68.05%, Med: 10.90%, Tail: 0.00%
[sgd] Epoch 93/200 - Loss: 0.1969, Val Acc: 57.71%, Head: 67.92%, Med: 16.85%, Tail: 0.00%
[sgd] Epoch 94/200 - Loss: 0.1988, Val Acc: 58.02%, Head: 62.01%, Med: 42.05%, Tail: 0.00%
[sgd] Epoch 95/200 - Loss: 0.1990, Val Acc: 57.40%, Head: 66.58%, Med: 20.70%, Tail: 0.00%
[sgd] Epoch 96/200 - Loss: 0.1949, Val Acc: 60.02%, Head: 70.01%, Med: 20.05%, Tail: 0.00%
[sgd] Epoch 97/200 - Loss: 0.1980, Val Acc: 56.74%, Head: 65.96%, Med: 19.85%, Tail: 0.00%
[sgd] Epoch 98/200 - Loss: 0.1866, Val Acc: 57.00%, Head: 66.64%, Med: 18.45%, Tail: 0.00%
[sgd] Epoch 99/200 - Loss: 0.1911, Val Acc: 60.94%, Head: 69.94%, Med: 24.95%, Tail: 0.00%
[sgd] Epoch 100/200 - Loss: 0.1791, Val Acc: 58.79%, Head: 66.22%, Med: 29.05%, Tail: 0.00%
[sgd] Epoch 101/200 - Loss: 0.1724, Val Acc: 56.64%, Head: 67.71%, Med: 12.35%, Tail: 0.00%
[sgd] Epoch 102/200 - Loss: 0.1726, Val Acc: 59.84%, Head: 66.51%, Med: 33.15%, Tail: 0.00%
[sgd] Epoch 103/200 - Loss: 0.1722, Val Acc: 57.21%, Head: 67.17%, Med: 17.35%, Tail: 0.00%
[sgd] Epoch 104/200 - Loss: 0.1671, Val Acc: 62.18%, Head: 68.21%, Med: 38.05%, Tail: 0.00%
[sgd] Epoch 105/200 - Loss: 0.1668, Val Acc: 57.88%, Head: 67.51%, Med: 19.35%, Tail: 0.00%
[sgd] Epoch 106/200 - Loss: 0.1659, Val Acc: 58.97%, Head: 68.24%, Med: 21.90%, Tail: 0.00%
[sgd] Epoch 107/200 - Loss: 0.1644, Val Acc: 57.60%, Head: 66.36%, Med: 22.55%, Tail: 0.00%
[sgd] Epoch 108/200 - Loss: 0.1450, Val Acc: 58.71%, Head: 68.35%, Med: 20.15%, Tail: 0.00%
[sgd] Epoch 109/200 - Loss: 0.1448, Val Acc: 58.38%, Head: 65.83%, Med: 28.60%, Tail: 0.00%
