nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run j8h3m8hd
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073500-j8h3m8hd
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run trinity
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/j8h3m8hd
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[Trinity] d_max=4800: 22.700% of trackable parameters permanently excluded from K-FAC (kept on AdamW).
<sys>:0: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
[trinity] Epoch 41/200 - Loss: 0.2545, Val Acc: 58.08%, Head: 67.01%, Med: 22.35%, Tail: 0.00%
[trinity] Epoch 42/200 - Loss: 0.2750, Val Acc: 54.46%, Head: 63.05%, Med: 20.10%, Tail: 0.00%
[trinity] Epoch 43/200 - Loss: 0.3126, Val Acc: 58.35%, Head: 67.72%, Med: 20.85%, Tail: 0.00%
[trinity] Epoch 44/200 - Loss: 0.2244, Val Acc: 55.42%, Head: 65.33%, Med: 15.80%, Tail: 0.00%
[trinity] Epoch 45/200 - Loss: 0.2424, Val Acc: 58.58%, Head: 67.80%, Med: 21.70%, Tail: 0.00%
[trinity] Epoch 46/200 - Loss: 0.2188, Val Acc: 59.76%, Head: 69.14%, Med: 22.25%, Tail: 0.00%
[trinity] Epoch 47/200 - Loss: 0.2276, Val Acc: 56.94%, Head: 64.79%, Med: 25.55%, Tail: 0.00%
[trinity] Epoch 48/200 - Loss: 0.1924, Val Acc: 58.39%, Head: 66.89%, Med: 24.40%, Tail: 0.00%
[trinity] Epoch 49/200 - Loss: 0.1724, Val Acc: 60.70%, Head: 68.59%, Med: 29.15%, Tail: 0.00%
[trinity] Epoch 50/200 - Loss: 0.3141, Val Acc: 56.69%, Head: 64.59%, Med: 25.10%, Tail: 0.00%
[trinity] Epoch 51/200 - Loss: 0.1744, Val Acc: 57.60%, Head: 68.35%, Med: 14.60%, Tail: 0.00%
[trinity] Epoch 52/200 - Loss: 0.1693, Val Acc: 58.62%, Head: 69.33%, Med: 15.80%, Tail: 0.00%
[trinity] Epoch 53/200 - Loss: 0.1787, Val Acc: 58.84%, Head: 68.66%, Med: 19.55%, Tail: 0.00%
[trinity] Epoch 54/200 - Loss: 0.1618, Val Acc: 58.13%, Head: 68.47%, Med: 16.75%, Tail: 0.00%
[trinity] Epoch 55/200 - Loss: 0.1558, Val Acc: 61.32%, Head: 68.70%, Med: 31.80%, Tail: 0.00%
[trinity] Epoch 56/200 - Loss: 0.1451, Val Acc: 59.17%, Head: 68.10%, Med: 23.45%, Tail: 0.00%
[trinity] Epoch 57/200 - Loss: 0.1414, Val Acc: 58.85%, Head: 67.45%, Med: 24.45%, Tail: 0.00%
[trinity] Epoch 58/200 - Loss: 0.1331, Val Acc: 58.98%, Head: 67.21%, Med: 26.05%, Tail: 0.00%
[trinity] Epoch 59/200 - Loss: 0.1301, Val Acc: 60.47%, Head: 69.44%, Med: 24.60%, Tail: 0.00%
[trinity] Epoch 60/200 - Loss: 0.1210, Val Acc: 60.39%, Head: 70.16%, Med: 21.30%, Tail: 0.00%
[trinity] Epoch 61/200 - Loss: 0.1180, Val Acc: 59.28%, Head: 69.25%, Med: 19.40%, Tail: 0.00%
[trinity] Epoch 62/200 - Loss: 0.1166, Val Acc: 58.79%, Head: 68.26%, Med: 20.90%, Tail: 0.00%
[trinity] Epoch 63/200 - Loss: 0.1077, Val Acc: 56.91%, Head: 66.89%, Med: 17.00%, Tail: 0.00%
[trinity] Epoch 64/200 - Loss: 0.1085, Val Acc: 58.57%, Head: 67.09%, Med: 24.50%, Tail: 0.00%
[trinity] Epoch 65/200 - Loss: 0.1026, Val Acc: 60.13%, Head: 68.47%, Med: 26.75%, Tail: 0.00%
[trinity] Epoch 66/200 - Loss: 0.0955, Val Acc: 60.42%, Head: 68.90%, Med: 26.50%, Tail: 0.00%
[trinity] Epoch 67/200 - Loss: 0.0932, Val Acc: 59.57%, Head: 69.83%, Med: 18.55%, Tail: 0.00%
[trinity] Epoch 68/200 - Loss: 0.0886, Val Acc: 62.15%, Head: 70.51%, Med: 28.70%, Tail: 0.00%
[trinity] Epoch 69/200 - Loss: 0.0869, Val Acc: 57.88%, Head: 67.09%, Med: 21.05%, Tail: 0.00%
[trinity] Epoch 70/200 - Loss: 0.0894, Val Acc: 58.22%, Head: 66.24%, Med: 26.15%, Tail: 0.00%
[trinity] Epoch 71/200 - Loss: 0.0819, Val Acc: 60.66%, Head: 69.84%, Med: 23.95%, Tail: 0.00%
[trinity] Epoch 72/200 - Loss: 0.0808, Val Acc: 59.51%, Head: 69.66%, Med: 18.90%, Tail: 0.00%
[trinity] Epoch 73/200 - Loss: 0.0721, Val Acc: 59.84%, Head: 67.97%, Med: 27.30%, Tail: 0.00%
[trinity] Epoch 74/200 - Loss: 0.0709, Val Acc: 59.60%, Head: 67.60%, Med: 27.60%, Tail: 0.00%
[trinity] Epoch 75/200 - Loss: 0.0958, Val Acc: 58.99%, Head: 67.74%, Med: 24.00%, Tail: 0.00%
[trinity] Epoch 76/200 - Loss: 0.0714, Val Acc: 57.57%, Head: 67.55%, Med: 17.65%, Tail: 0.00%
[trinity] Epoch 77/200 - Loss: 0.0733, Val Acc: 58.60%, Head: 68.86%, Med: 17.55%, Tail: 0.00%
[trinity] Epoch 78/200 - Loss: 0.0691, Val Acc: 57.81%, Head: 66.29%, Med: 23.90%, Tail: 0.00%
[trinity] Epoch 79/200 - Loss: 0.0648, Val Acc: 57.81%, Head: 67.56%, Med: 18.80%, Tail: 0.00%
[trinity] Epoch 80/200 - Loss: 0.0545, Val Acc: 60.42%, Head: 69.78%, Med: 23.00%, Tail: 0.00%
[trinity] Epoch 81/200 - Loss: 0.0630, Val Acc: 61.62%, Head: 70.15%, Med: 27.50%, Tail: 0.00%
[trinity] Epoch 82/200 - Loss: 0.0654, Val Acc: 58.74%, Head: 70.10%, Med: 13.30%, Tail: 0.00%
[trinity] Epoch 83/200 - Loss: 0.0469, Val Acc: 60.56%, Head: 69.28%, Med: 25.70%, Tail: 0.00%
[trinity] Epoch 84/200 - Loss: 0.0519, Val Acc: 59.00%, Head: 68.19%, Med: 22.25%, Tail: 0.00%
