epoch,loss,val_acc,head_acc,med_acc,tail_acc
1,2.157100,11.25,14.06,0.00,0.00
2,1.578100,21.03,26.29,0.00,0.00
3,1.253300,22.98,28.73,0.00,0.00
4,1.116300,25.62,32.02,0.00,0.00
5,1.052000,25.94,32.42,0.00,0.00
6,1.014800,27.78,34.73,0.00,0.00
7,1.019400,27.48,34.35,0.00,0.00
8,0.962500,24.20,30.25,0.00,0.00
9,0.885600,30.53,38.16,0.00,0.00
10,0.838300,30.48,38.10,0.00,0.00
11,0.813200,22.63,28.29,0.00,0.00
12,0.792200,32.71,40.89,0.00,0.00
13,0.744600,33.01,41.26,0.00,0.00
14,0.731900,31.99,39.99,0.00,0.00
15,0.721800,30.82,38.52,0.00,0.00
16,0.706300,35.54,44.42,0.00,0.00
17,0.686500,39.00,48.75,0.00,0.00
18,0.664000,37.88,47.35,0.00,0.00
19,0.656700,34.90,43.62,0.00,0.00
20,0.644400,10.21,12.76,0.00,0.00
21,0.620400,38.75,48.44,0.00,0.00
22,0.602500,38.06,47.58,0.00,0.00
23,0.595700,42.65,53.31,0.00,0.00
24,0.573400,40.28,50.35,0.00,0.00
25,0.547400,41.29,51.61,0.00,0.00
26,0.543200,41.74,52.17,0.00,0.00
27,0.524500,41.43,51.79,0.00,0.00
28,0.529600,43.56,54.45,0.00,0.00
29,0.508000,44.36,55.45,0.00,0.00
30,0.487800,45.84,57.30,0.00,0.00
31,0.486400,45.54,56.92,0.00,0.00
32,0.481100,44.40,55.50,0.00,0.00
33,0.456600,45.54,56.88,0.20,0.00
34,0.439200,45.59,56.77,0.85,0.00
35,0.430600,45.97,57.42,0.15,0.00
36,0.416900,48.09,59.16,3.80,0.00
37,0.411800,47.99,59.14,3.40,0.00
38,0.404300,49.33,60.23,5.75,0.00
39,0.381500,44.21,54.66,2.40,0.00
40,0.375900,49.98,61.11,5.45,0.00
41,0.366200,51.30,60.90,12.90,0.00
42,0.346100,50.47,61.08,8.05,0.00
43,0.337200,50.20,59.38,13.50,0.00
44,0.338200,52.81,63.09,11.70,0.00
45,0.315800,55.18,64.26,18.85,0.00
46,0.312600,51.82,63.60,4.70,0.00
47,0.304600,49.88,59.46,11.55,0.00
48,0.301400,48.70,58.83,8.20,0.00
49,0.289200,52.81,62.98,12.15,0.00
50,0.278500,52.79,63.06,11.70,0.00
51,0.272000,53.95,65.60,7.35,0.00
52,0.255900,54.91,65.59,12.20,0.00
53,0.263900,55.00,64.60,16.60,0.00
54,0.241900,54.86,65.62,11.80,0.00
55,0.245500,55.03,65.91,11.50,0.00
56,0.231100,55.28,64.81,17.15,0.00
57,0.232300,58.92,68.54,20.45,0.00
58,0.219600,55.51,67.15,8.95,0.00
59,0.218000,55.78,67.09,10.55,0.00
60,0.201200,57.91,68.58,15.25,0.00
61,0.189500,53.65,65.33,6.95,0.00
62,0.202000,55.02,64.58,16.80,0.00
63,0.186000,57.34,67.94,14.95,0.00
64,0.179000,54.08,65.39,8.85,0.00
65,0.174900,56.24,66.91,13.55,0.00
66,0.167200,57.25,66.91,18.60,0.00
67,0.171600,56.21,64.65,22.45,0.00
68,0.168700,52.33,63.61,7.20,0.00
69,0.158900,56.39,65.16,21.30,0.00
70,0.155100,56.71,67.56,13.30,0.00
71,0.145000,54.77,64.49,15.90,0.00
72,0.144500,56.52,66.14,18.05,0.00
73,0.142800,55.69,64.92,18.75,0.00
74,0.129900,58.94,67.33,25.40,0.00
75,0.135000,57.24,66.21,21.35,0.00
76,0.126100,57.21,68.40,12.45,0.00
77,0.130300,54.57,65.15,12.25,0.00
78,0.115900,58.30,67.06,23.25,0.00
79,0.114300,55.65,65.92,14.55,0.00
80,0.113000,59.94,67.35,30.30,0.00
81,0.113800,56.14,63.49,26.75,0.00
82,0.111000,56.60,66.30,17.80,0.00
83,0.100800,57.59,67.47,18.05,0.00
84,0.099300,56.99,65.70,22.15,0.00
85,0.100900,59.30,68.04,24.35,0.00
86,0.101400,58.07,66.80,23.15,0.00
87,0.088100,56.80,65.67,21.30,0.00
