epoch,loss,val_acc,head_acc,med_acc,tail_acc
138,0.200300,43.26,51.67,9.60,0.00
139,0.190200,43.58,51.74,10.95,0.00
140,0.190500,43.12,52.33,6.30,0.00
141,0.181100,44.09,52.98,8.55,0.00
142,0.173700,44.12,51.91,12.95,0.00
143,0.165200,43.07,51.60,8.95,0.00
144,0.164100,42.05,50.62,7.75,0.00
145,0.160400,42.28,51.05,7.20,0.00
146,0.157300,43.30,51.48,10.60,0.00
147,0.154800,43.97,51.80,12.65,0.00
148,0.155600,42.75,50.85,10.35,0.00
149,0.146800,43.74,51.83,11.40,0.00
150,0.145400,43.44,52.08,8.90,0.00
151,0.143900,42.71,51.21,8.70,0.00
152,0.131400,43.00,51.48,9.10,0.00
153,0.136100,43.94,52.71,8.85,0.00
154,0.133200,42.92,51.70,7.80,0.00
155,0.127300,42.68,51.17,8.70,0.00
156,0.127400,42.95,51.48,8.85,0.00
157,0.117500,42.85,51.70,7.45,0.00
158,0.118000,43.95,52.34,10.40,0.00
159,0.118400,41.96,50.41,8.15,0.00
160,0.110800,43.00,51.51,8.95,0.00
161,0.108700,43.15,51.49,9.80,0.00
162,0.106000,42.76,51.16,9.15,0.00
163,0.105200,43.32,51.61,10.15,0.00
164,0.099700,43.37,51.84,9.50,0.00
165,0.103200,42.85,51.10,9.85,0.00
166,0.098200,43.91,52.25,10.55,0.00
167,0.098000,43.22,51.55,9.90,0.00
168,0.093300,43.09,51.71,8.60,0.00
169,0.094100,43.15,51.67,9.05,0.00
170,0.090700,43.51,52.02,9.45,0.00
171,0.085100,43.20,52.01,7.95,0.00
172,0.082200,43.12,51.27,10.50,0.00
173,0.083300,42.87,51.45,8.55,0.00
174,0.079500,43.09,51.21,10.60,0.00
175,0.080900,43.69,51.91,10.80,0.00
176,0.075400,43.04,51.60,8.80,0.00
177,0.076800,43.28,51.66,9.75,0.00
178,0.078200,43.16,51.70,9.00,0.00
179,0.075200,42.52,51.06,8.35,0.00
180,0.072300,42.84,51.33,8.90,0.00
181,0.074100,43.11,51.75,8.55,0.00
182,0.073500,42.88,51.27,9.30,0.00
183,0.067600,42.88,51.25,9.40,0.00
184,0.069400,43.07,51.42,9.65,0.00
185,0.067000,42.99,51.42,9.25,0.00
186,0.062300,42.99,51.45,9.15,0.00
187,0.066900,43.29,51.75,9.45,0.00
188,0.067200,43.20,51.66,9.35,0.00
189,0.064000,43.25,51.64,9.70,0.00
190,0.067900,43.08,51.61,8.95,0.00
191,0.065200,43.20,51.80,8.80,0.00
192,0.067200,43.19,51.76,8.90,0.00
193,0.062400,43.08,51.65,8.80,0.00
194,0.059500,42.99,51.54,8.80,0.00
195,0.066800,43.08,51.55,9.20,0.00
196,0.065900,43.03,51.54,9.00,0.00
197,0.062600,42.98,51.48,9.00,0.00
198,0.062300,43.03,51.55,8.95,0.00
199,0.064800,43.03,51.55,8.95,0.00
200,0.064600,43.08,51.56,9.15,0.00
