epoch,loss,val_acc,head_acc,med_acc,tail_acc
1,2.742400,10.40,12.69,1.25,0.00
2,1.682000,20.49,25.61,0.00,0.00
3,1.257600,26.14,32.67,0.00,0.00
4,1.094300,27.52,34.40,0.00,0.00
5,1.023400,29.04,36.30,0.00,0.00
6,0.935700,30.04,37.55,0.00,0.00
7,0.873700,33.16,41.45,0.00,0.00
8,0.824600,34.98,43.73,0.00,0.00
9,0.782200,36.30,45.38,0.00,0.00
10,0.747400,37.79,47.24,0.00,0.00
11,0.709600,35.30,44.12,0.00,0.00
12,0.706800,38.12,47.65,0.00,0.00
13,0.656700,40.06,50.08,0.00,0.00
14,0.638500,39.59,49.49,0.00,0.00
15,0.607000,41.60,52.00,0.00,0.00
16,0.571900,44.73,55.91,0.00,0.00
17,0.559700,46.23,57.79,0.00,0.00
18,0.575700,44.78,55.98,0.00,0.00
19,0.529100,47.30,59.12,0.00,0.00
20,0.508100,43.29,53.38,2.95,0.00
21,0.485500,46.16,57.70,0.00,0.00
22,0.468100,49.12,61.06,1.35,0.00
23,0.446900,49.16,59.92,6.10,0.00
24,0.422900,54.29,64.86,12.00,0.00
25,0.402000,54.85,65.69,11.50,0.00
26,0.378700,51.92,61.44,13.85,0.00
27,0.373800,54.11,64.80,11.35,0.00
28,0.359100,48.47,60.19,1.60,0.00
29,0.345900,53.85,67.14,0.70,0.00
30,0.337900,56.14,66.94,12.95,0.00
31,0.312600,56.48,65.21,21.55,0.00
32,0.314300,57.49,66.64,20.90,0.00
33,0.292100,54.64,65.72,10.30,0.00
34,0.279800,54.79,65.76,10.90,0.00
35,0.252500,57.58,65.97,24.00,0.00
36,0.252700,54.66,64.08,17.00,0.00
37,0.253500,57.22,67.28,17.00,0.00
38,0.256900,59.27,68.16,23.70,0.00
39,0.226500,57.99,66.96,22.10,0.00
40,0.219300,59.08,67.46,25.55,0.00
41,0.203200,59.34,66.49,30.75,0.00
42,0.199700,57.46,66.56,21.05,0.00
