epoch,loss,val_acc,head_acc,med_acc,tail_acc
138,0.005600,47.18,56.54,9.75,0.00
139,0.004800,47.91,57.15,10.95,0.00
140,0.004500,46.65,55.92,9.55,0.00
141,0.003400,46.62,55.34,11.75,0.00
142,0.002700,48.86,57.27,15.20,0.00
143,0.004000,47.05,56.46,9.40,0.00
144,0.003000,47.67,56.86,10.90,0.00
145,0.002300,47.86,56.95,11.50,0.00
146,0.002700,48.01,57.33,10.75,0.00
147,0.003900,47.83,57.10,10.75,0.00
148,0.003800,46.45,56.04,8.10,0.00
149,0.001600,47.12,56.71,8.75,0.00
150,0.001300,46.97,56.51,8.80,0.00
151,0.000900,46.84,56.36,8.75,0.00
152,0.004300,47.18,56.99,7.95,0.00
153,0.001100,47.76,57.44,9.05,0.00
154,0.001000,47.55,57.20,8.95,0.00
155,0.002700,46.95,56.25,9.75,0.00
156,0.001000,47.30,57.06,8.25,0.00
157,0.001400,47.10,56.67,8.80,0.00
158,0.001300,47.02,56.69,8.35,0.00
159,0.001100,47.20,56.51,9.95,0.00
160,0.001500,46.64,56.09,8.85,0.00
161,0.001300,47.06,56.71,8.45,0.00
162,0.000700,46.75,56.34,8.40,0.00
163,0.000300,46.96,56.35,9.40,0.00
164,0.000800,47.17,56.41,10.20,0.00
165,0.000900,47.12,56.45,9.80,0.00
166,0.000600,46.84,56.33,8.90,0.00
167,0.000600,47.22,56.99,8.15,0.00
168,0.000600,47.37,57.16,8.20,0.00
169,0.001100,47.46,56.99,9.35,0.00
170,0.000600,47.73,57.48,8.75,0.00
171,0.000300,47.33,57.09,8.30,0.00
172,0.000100,47.13,56.88,8.15,0.00
173,0.000400,47.44,57.23,8.30,0.00
174,0.000700,47.01,57.04,6.90,0.00
175,0.000600,47.18,57.06,7.65,0.00
176,0.000600,47.71,57.50,8.55,0.00
177,0.000400,47.86,57.60,8.90,0.00
178,0.000300,47.52,57.34,8.25,0.00
179,0.000200,47.44,57.30,8.00,0.00
180,0.000300,47.23,57.00,8.15,0.00
181,0.000200,47.31,57.04,8.40,0.00
182,0.000200,47.26,56.88,8.80,0.00
183,0.000100,47.17,56.80,8.65,0.00
184,0.000300,47.35,56.96,8.90,0.00
185,0.000300,47.36,56.99,8.85,0.00
186,0.000300,47.31,56.96,8.70,0.00
187,0.000300,47.41,57.05,8.85,0.00
188,0.000100,47.33,57.00,8.65,0.00
189,0.000200,47.32,56.99,8.65,0.00
190,0.000200,47.20,56.91,8.35,0.00
191,0.000200,47.15,56.81,8.50,0.00
192,0.000100,47.13,56.81,8.40,0.00
193,0.000100,47.09,56.77,8.35,0.00
194,0.000200,47.13,56.81,8.40,0.00
195,0.000200,47.26,56.94,8.55,0.00
196,0.000100,47.28,56.95,8.60,0.00
197,0.000400,47.25,56.92,8.55,0.00
198,0.000100,47.30,56.96,8.65,0.00
199,0.000100,47.30,56.95,8.70,0.00
200,0.000100,47.37,57.04,8.70,0.00
