epoch,so_count,total_blocks,so_pct,rho,nu,kfac_inv_ok,kfac_inv_tot,loss,val_acc
1,0,105,0.0,0.971,0.055,0,0,2.7424,10.4
2,0,105,0.0,0.914,0.176,0,0,1.682,20.49
3,0,105,0.0,0.856,0.252,0,0,1.2576,26.14
4,0,105,0.0,0.799,0.312,0,0,1.0943,27.52
5,0,105,0.0,0.741,0.386,0,0,1.0234,29.04
6,0,105,0.0,0.684,0.471,0,0,0.9357,30.04
7,0,105,0.0,0.626,0.486,0,0,0.8737,33.16
8,0,105,0.0,0.602,0.536,0,0,0.8246,34.98
9,0,105,0.0,0.564,0.536,0,0,0.7822,36.3
10,0,105,0.0,0.531,0.457,0,0,0.7474,37.79
11,0,105,0.0,0.498,0.419,0,0,0.7096,35.3
12,0,105,0.0,0.464,0.467,0,0,0.7068,38.12
13,0,105,0.0,0.431,0.46,0,0,0.6567,40.06
14,0,105,0.0,0.397,0.431,0,0,0.6385,39.59
15,0,105,0.0,0.381,0.44,0,0,0.607,41.6
16,0,105,0.0,0.35,0.431,0,0,0.5719,44.73
17,0,105,0.0,0.328,0.398,0,0,0.5597,46.23
18,0,105,0.0,0.309,0.39,0,0,0.5757,44.78
19,0,105,0.0,0.289,0.421,0,0,0.5291,47.3
20,0,105,0.0,0.27,0.369,0,0,0.5081,43.29
21,0,105,0.0,0.25,0.407,0,0,0.4855,46.16
22,0,105,0.0,0.231,0.36,0,0,0.4681,49.12
23,0,105,0.0,0.221,0.407,0,0,0.4469,49.16
24,0,105,0.0,0.203,0.464,0,0,0.4229,54.29
25,0,105,0.0,0.191,0.462,0,0,0.402,54.85
26,0,105,0.0,0.179,0.471,0,0,0.3787,51.92
27,0,105,0.0,0.168,0.471,0,0,0.3738,54.11
28,0,105,0.0,0.157,0.526,0,0,0.3591,48.47
29,0,105,0.0,0.146,0.483,0,0,0.3459,53.85
30,0,105,0.0,0.14,0.512,0,0,0.3379,56.14
31,0,105,0.0,0.129,0.536,0,0,0.3126,56.48
32,0,105,0.0,0.118,0.471,0,0,0.3143,57.49
33,7,105,6.67,0.111,0.519,7,7,0.2921,54.64
34,21,105,20.0,0.104,0.51,0,0,0.2798,54.79
35,35,105,33.33,0.098,0.502,21,21,0.2525,57.58
36,40,105,38.1,0.091,0.436,35,35,0.2527,54.66
37,40,105,38.1,0.085,0.452,40,40,0.2535,57.22
38,40,105,38.1,0.081,0.438,40,40,0.2569,59.27
39,40,105,38.1,0.075,0.424,40,40,0.2265,57.99
40,40,105,38.1,0.069,0.471,40,40,0.2193,59.08
41,40,105,38.1,0.064,0.448,40,40,0.2032,59.34
42,40,105,38.1,0.061,0.488,40,40,0.1997,57.46
43,40,105,38.1,0.057,0.448,40,40,0.1958,60.9
44,40,105,38.1,0.053,0.476,40,40,0.189,58.78
45,40,105,38.1,0.051,0.464,40,40,0.1686,57.92
46,40,105,38.1,0.047,0.452,40,40,0.1627,59.29
47,40,105,38.1,0.044,0.429,40,40,0.1699,59.33
48,40,105,38.1,0.04,0.381,40,40,0.1674,60.36
49,40,105,38.1,0.037,0.398,40,40,0.1639,58.3
50,40,105,38.1,0.035,0.367,40,40,0.1511,58.14
51,40,105,38.1,0.033,0.426,40,40,0.1422,60.32
52,40,105,38.1,0.031,0.393,40,40,0.1357,58.97
53,40,105,38.1,0.03,0.381,40,40,0.1279,60.74
54,40,105,38.1,0.028,0.374,40,40,0.1412,58.83
55,40,105,38.1,0.025,0.448,40,40,0.1283,59.96
56,40,105,38.1,0.023,0.51,40,40,0.1171,60.67
57,40,105,38.1,0.022,0.498,40,40,0.122,57.33
58,40,105,38.1,0.021,0.474,40,40,0.1219,58.85
59,40,105,38.1,0.019,0.474,40,40,0.1094,61.48
60,40,105,38.1,0.019,0.467,40,40,0.1137,61.18
61,40,105,38.1,0.017,0.445,40,40,0.116,58.74
62,40,105,38.1,0.016,0.467,40,40,0.0967,60.6
63,40,105,38.1,0.015,0.402,40,40,0.0987,61.2
64,40,105,38.1,0.014,0.383,40,40,0.1017,61.02
65,40,105,38.1,0.013,0.379,40,40,0.0952,61.5
66,40,105,38.1,0.012,0.4,40,40,0.1045,62.93
67,40,105,38.1,0.012,0.414,0,0,0.0806,59.41
68,40,105,38.1,0.011,0.452,40,40,0.0752,59.85
69,40,105,38.1,0.01,0.521,40,40,0.0696,59.99
70,40,105,38.1,0.009,0.576,40,40,0.0727,61.33
71,40,105,38.1,0.009,0.545,40,40,0.0628,58.85
72,40,105,38.1,0.008,0.51,40,40,0.0706,58.93
73,40,105,38.1,0.007,0.51,40,40,0.0675,59.62
74,40,105,38.1,0.007,0.514,40,40,0.0612,59.65
75,40,105,38.1,0.007,0.498,40,40,0.069,60.78
76,40,105,38.1,0.006,0.412,40,40,0.0594,60.89
77,40,105,38.1,0.006,0.355,40,40,0.0624,58.55
78,40,105,38.1,0.005,0.312,40,40,0.0506,58.87
79,40,105,38.1,0.005,0.331,40,40,0.0528,57.85
80,40,105,38.1,0.005,0.343,40,40,0.0556,57.98
81,40,105,38.1,0.004,0.36,40,40,0.0516,59.54
82,40,105,38.1,0.004,0.374,40,40,0.0522,59.62
83,40,105,38.1,0.004,0.388,40,40,0.047,61.2
84,40,105,38.1,0.004,0.417,40,40,0.0446,60.72
85,40,105,38.1,0.003,0.407,40,40,0.0399,60.23
86,40,105,38.1,0.003,0.433,40,40,0.047,60.78
87,40,105,38.1,0.003,0.438,40,40,0.0478,58.15
88,40,105,38.1,0.003,0.474,40,40,0.045,59.34
89,40,105,38.1,0.003,0.469,40,40,0.0402,60.41
90,40,105,38.1,0.002,0.443,40,40,0.0428,58.85
91,40,105,38.1,0.002,0.431,40,40,0.0393,61.49
92,40,105,38.1,0.002,0.469,40,40,0.0347,59.82
93,40,105,38.1,0.002,0.433,40,40,0.0308,59.82
94,40,105,38.1,0.002,0.443,40,40,0.0291,60.94
95,40,105,38.1,0.002,0.41,40,40,0.0369,58.87
96,40,105,38.1,0.002,0.39,40,40,0.0365,62.37
97,40,105,38.1,0.002,0.405,40,40,0.0309,60.13
98,40,105,38.1,0.001,0.393,40,40,0.0279,61.39
99,40,105,38.1,0.001,0.431,40,40,0.0281,61.11
100,40,105,38.1,0.001,0.464,40,40,0.0285,59.43
101,40,105,38.1,0.001,0.517,0,0,0.0237,60.87
102,40,105,38.1,0.001,0.505,40,40,0.0239,59.5
103,40,105,38.1,0.001,0.51,40,40,0.0246,58.75
104,40,105,38.1,0.001,0.5,40,40,0.0256,60.68
105,40,105,38.1,0.001,0.467,40,40,0.0225,59.4
106,40,105,38.1,0.001,0.474,40,40,0.057,61.07
107,40,105,38.1,0.001,0.46,40,40,0.0297,60.18
108,40,105,38.1,0.001,0.4,40,40,0.0227,60.31
109,40,105,38.1,0.001,0.381,40,40,0.0186,61.61
110,40,105,38.1,0.001,0.352,40,40,0.019,60.63
111,40,105,38.1,0.001,0.402,40,40,0.0175,60.6
112,40,105,38.1,0.001,0.393,40,40,0.0186,59.1
113,40,105,38.1,0.001,0.41,40,40,0.0145,61.0
114,40,105,38.1,0.001,0.424,40,40,0.0125,60.05
115,40,105,38.1,0.001,0.383,40,40,0.0126,61.63
116,40,105,38.1,0.0,0.431,40,40,0.0199,62.05
117,40,105,38.1,0.0,0.46,40,40,0.0153,59.43
118,40,105,38.1,0.0,0.469,40,40,0.017,61.11
119,40,105,38.1,0.0,0.443,40,40,0.0158,61.37
120,40,105,38.1,0.0,0.436,40,40,0.013,59.86
121,40,105,38.1,0.0,0.398,40,40,0.0092,60.2
122,40,105,38.1,0.0,0.424,40,40,0.0123,59.44
123,40,105,38.1,0.0,0.429,40,40,0.014,59.32
124,40,105,38.1,0.0,0.395,40,40,0.0133,61.29
125,40,105,38.1,0.0,0.371,40,40,0.0119,62.0
126,40,105,38.1,0.0,0.345,40,40,0.0113,60.83
127,40,105,38.1,0.0,0.395,40,40,0.0091,61.31
128,40,105,38.1,0.0,0.414,40,40,0.0085,60.54
129,40,105,38.1,0.0,0.431,40,40,0.0068,60.87
130,40,105,38.1,0.0,0.436,40,40,0.0077,61.59
131,40,105,38.1,0.0,0.448,40,40,0.0074,61.01
132,40,105,38.1,0.0,0.436,40,40,0.0097,61.44
133,40,105,38.1,0.0,0.419,40,40,0.009,60.29
134,40,105,38.1,0.0,0.426,0,0,0.0049,61.11
135,40,105,38.1,0.0,0.452,40,40,0.01,63.48
136,40,105,38.1,0.0,0.429,40,40,0.0073,62.6
137,40,105,38.1,0.0,0.426,40,40,0.0057,62.28
138,40,105,38.1,0.0,0.376,40,40,0.0051,61.8
139,40,105,38.1,0.0,0.352,40,40,0.0072,62.51
140,40,105,38.1,0.0,0.319,40,40,0.007,61.41
141,40,105,38.1,0.0,0.355,40,40,0.0055,62.59
142,40,105,38.1,0.0,0.362,40,40,0.0055,61.55
143,40,105,38.1,0.0,0.338,40,40,0.0041,60.72
144,40,105,38.1,0.0,0.305,40,40,0.0058,60.96
145,40,105,38.1,0.0,0.288,40,40,0.0057,61.73
146,40,105,38.1,0.0,0.286,40,40,0.0054,62.28
147,40,105,38.1,0.0,0.305,40,40,0.0037,61.04
148,40,105,38.1,0.0,0.36,40,40,0.0039,61.74
149,40,105,38.1,0.0,0.36,40,40,0.0045,62.45
150,40,105,38.1,0.0,0.374,40,40,0.0043,61.28
151,40,105,38.1,0.0,0.407,40,40,0.0033,62.42
152,40,105,38.1,0.0,0.51,40,40,0.0042,61.99
153,40,105,38.1,0.0,0.529,40,40,0.0033,62.41
154,40,105,38.1,0.0,0.531,40,40,0.0035,61.4
155,40,105,38.1,0.0,0.54,40,40,0.004,61.26
156,40,105,38.1,0.0,0.583,40,40,0.0023,60.7
157,40,105,38.1,0.0,0.598,40,40,0.0021,61.6
158,40,105,38.1,0.0,0.636,40,40,0.001,60.77
159,40,105,38.1,0.0,0.579,40,40,0.0027,61.37
160,40,105,38.1,0.0,0.464,40,40,0.0027,61.92
161,40,105,38.1,0.0,0.479,40,40,0.0016,62.19
162,40,105,38.1,0.0,0.488,40,40,0.0014,61.35
163,40,105,38.1,0.0,0.469,40,40,0.0005,61.35
164,40,105,38.1,0.0,0.433,40,40,0.0015,62.65
165,40,105,38.1,0.0,0.355,40,40,0.0018,62.07
166,40,105,38.1,0.0,0.324,40,40,0.0013,62.3
167,40,105,38.1,0.0,0.314,0,0,0.0016,62.37
168,40,105,38.1,0.0,0.376,40,40,0.0016,62.57
169,40,105,38.1,0.0,0.352,40,40,0.0019,61.45
170,40,105,38.1,0.0,0.381,40,40,0.001,62.71
171,40,105,38.1,0.0,0.374,40,40,0.0009,62.58
172,40,105,38.1,0.0,0.379,40,40,0.0009,62.55
173,40,105,38.1,0.0,0.424,40,40,0.0008,62.3
174,40,105,38.1,0.0,0.426,40,40,0.0012,62.38
175,40,105,38.1,0.0,0.41,40,40,0.0014,61.75
176,40,105,38.1,0.0,0.402,40,40,0.0009,62.21
177,40,105,38.1,0.0,0.41,40,40,0.0007,62.27
178,40,105,38.1,0.0,0.405,40,40,0.0017,62.13
179,40,105,38.1,0.0,0.405,40,40,0.0007,61.94
180,40,105,38.1,0.0,0.469,40,40,0.0009,62.18
181,40,105,38.1,0.0,0.467,40,40,0.0009,62.22
182,40,105,38.1,0.0,0.45,40,40,0.0005,62.12
183,40,105,38.1,0.0,0.483,40,40,0.0004,62.09
184,40,105,38.1,0.0,0.507,40,40,0.0004,61.95
185,40,105,38.1,0.0,0.493,40,40,0.0005,62.34
186,40,105,38.1,0.0,0.493,40,40,0.0004,62.22
187,40,105,38.1,0.0,0.45,40,40,0.0006,62.36
188,40,105,38.1,0.0,0.412,40,40,0.001,62.19
189,40,105,38.1,0.0,0.412,40,40,0.0008,62.31
190,40,105,38.1,0.0,0.443,40,40,0.0003,62.22
191,40,105,38.1,0.0,0.493,40,40,0.0006,62.39
192,40,105,38.1,0.0,0.471,40,40,0.0004,62.2
193,40,105,38.1,0.0,0.521,40,40,0.0002,62.06
194,40,105,38.1,0.0,0.519,40,40,0.0002,62.62
195,40,105,38.1,0.0,0.517,40,40,0.0003,62.22
196,40,105,38.1,0.0,0.545,40,40,0.0005,62.43
197,40,105,38.1,0.0,0.519,40,40,0.001,62.0
198,40,105,38.1,0.0,0.46,40,40,0.0004,62.21
199,40,105,38.1,0.0,0.355,40,40,0.0004,62.15
200,40,105,38.1,0.0,0.324,40,40,0.0006,62.45
