epoch,loss,val_acc
1,1.3414,21.59
2,1.4901,19.23
3,1.3432,18.03
4,1.3233,23.2
5,1.3045,17.13
6,1.3169,17.17
7,1.2446,24.77
8,1.1945,25.79
9,1.1724,25.62
10,1.1397,27.12
11,1.112,26.35
12,1.0923,25.19
13,1.0628,27.1
14,1.0488,25.56
15,1.0317,26.1
16,1.0134,30.41
17,0.9971,24.39
18,0.9844,27.67
19,0.9698,30.58
20,0.959,26.39
21,0.9475,30.68
22,0.9413,30.83
23,0.9372,26.79
24,0.9283,30.74
25,0.9112,34.09
26,0.8998,32.12
27,0.8925,31.17
28,0.886,34.9
29,0.8863,34.45
30,0.8703,29.54
31,0.8677,35.8
32,0.8514,30.94
33,0.851,35.19
34,0.846,36.77
35,0.8349,36.1
36,0.8224,32.56
37,0.8168,35.1
38,0.7997,31.11
39,0.8001,32.73
40,0.8045,37.56
41,0.7882,37.33
42,0.7784,32.87
43,0.774,36.97
44,0.7722,32.07
45,0.763,35.89
46,0.7503,35.18
47,0.7391,36.76
48,0.7487,39.05
49,0.7423,36.22
50,0.7312,38.96
51,0.7276,36.98
52,0.7196,37.71
53,0.7277,37.27
54,0.7058,38.37
55,0.7088,38.75
56,0.6977,35.36
57,0.6983,39.17
58,0.6856,37.03
59,0.6843,36.86
60,0.6736,40.42
61,0.6737,39.52
62,0.667,39.09
63,0.6624,42.98
64,0.6583,39.24
65,0.6454,40.15
66,0.6448,40.51
67,0.6332,37.12
68,0.6308,41.41
69,0.6281,41.02
70,0.6144,36.58
71,0.6119,40.72
72,0.6022,39.9
73,0.6101,43.69
74,0.5908,42.29
75,0.5965,43.88
76,0.589,42.59
77,0.5796,38.07
78,0.5679,44.36
79,0.5696,40.93
80,0.5674,41.14
81,0.558,44.18
82,0.5591,42.59
83,0.5486,43.37
84,0.5326,43.32
85,0.527,40.57
86,0.5225,40.57
87,0.5227,40.8
88,0.5067,45.36
89,0.5096,44.11
90,0.496,43.52
91,0.4899,44.96
92,0.4839,43.16
93,0.4814,40.97
94,0.4769,42.29
95,0.466,43.16
96,0.4587,42.57
97,0.45,40.99
98,0.4418,41.57
99,0.4402,42.99
100,0.4271,42.91
101,0.4263,43.63
102,0.4122,43.47
103,0.4165,43.95
104,0.3995,43.53
105,0.4005,43.78
106,0.3896,44.99
107,0.3798,43.35
108,0.376,45.27
109,0.3695,46.44
110,0.3605,44.09
111,0.3492,44.6
112,0.3553,42.84
113,0.3453,46.71
114,0.3351,44.49
115,0.3278,46.07
116,0.3209,46.95
117,0.3153,43.41
118,0.3103,43.81
119,0.2996,44.39
120,0.3077,44.78
121,0.2876,45.49
122,0.2848,42.36
123,0.274,44.31
124,0.2833,44.17
125,0.2682,43.04
126,0.2595,43.52
127,0.2578,42.32
128,0.2427,43.73
129,0.2387,44.76
130,0.238,44.38
131,0.2309,44.46
132,0.218,42.83
133,0.2238,44.38
134,0.2154,43.73
135,0.2176,43.17
136,0.2091,44.07
137,0.1999,43.18
138,0.2003,43.26
139,0.1902,43.58
140,0.1905,43.12
141,0.1811,44.09
142,0.1737,44.12
143,0.1652,43.07
144,0.1641,42.05
145,0.1604,42.28
146,0.1573,43.3
147,0.1548,43.97
148,0.1556,42.75
149,0.1468,43.74
150,0.1454,43.44
151,0.1439,42.71
152,0.1314,43.0
153,0.1361,43.94
154,0.1332,42.92
155,0.1273,42.68
156,0.1274,42.95
157,0.1175,42.85
158,0.118,43.95
159,0.1184,41.96
160,0.1108,43.0
161,0.1087,43.15
162,0.106,42.76
163,0.1052,43.32
164,0.0997,43.37
165,0.1032,42.85
166,0.0982,43.91
167,0.098,43.22
168,0.0933,43.09
169,0.0941,43.15
170,0.0907,43.51
171,0.0851,43.2
172,0.0822,43.12
173,0.0833,42.87
174,0.0795,43.09
175,0.0809,43.69
176,0.0754,43.04
177,0.0768,43.28
178,0.0782,43.16
179,0.0752,42.52
180,0.0723,42.84
181,0.0741,43.11
182,0.0735,42.88
183,0.0676,42.88
184,0.0694,43.07
185,0.067,42.99
186,0.0623,42.99
187,0.0669,43.29
188,0.0672,43.2
189,0.064,43.25
190,0.0679,43.08
191,0.0652,43.2
192,0.0672,43.19
193,0.0624,43.08
194,0.0595,42.99
195,0.0668,43.08
196,0.0659,43.03
197,0.0626,42.98
198,0.0623,43.03
199,0.0648,43.03
200,0.0646,43.08
