epoch,so_count,total_blocks,so_pct,rho,nu,kfac_inv_ok,kfac_inv_tot,loss,val_acc
1,0,38,0.0,0.937,0.0,0,0,1.5013,19.82
2,0,38,0.0,0.874,0.079,0,0,1.2562,24.01
3,0,38,0.0,0.811,0.079,0,0,1.1543,21.71
4,0,38,0.0,0.684,0.23,0,0,1.0704,27.73
5,0,38,0.0,0.621,0.316,0,0,1.0185,27.37
6,0,38,0.0,0.558,0.322,0,0,1.0055,30.26
7,0,38,0.0,0.432,0.349,0,0,0.958,28.8
8,2,38,5.26,0.388,0.355,0,0,0.9253,32.22
9,6,38,15.79,0.362,0.362,2,2,0.8924,31.11
10,8,38,21.05,0.337,0.322,8,8,0.8555,34.39
11,8,38,21.05,0.287,0.237,8,8,0.8454,32.4
12,8,38,21.05,0.261,0.197,8,8,0.8361,34.66
13,8,38,21.05,0.236,0.211,8,8,0.8248,34.69
14,8,38,21.05,0.186,0.25,8,8,0.8049,32.96
15,8,38,21.05,0.16,0.25,8,8,0.7827,39.19
16,8,38,21.05,0.15,0.283,8,8,0.7731,35.6
17,8,38,21.05,0.14,0.303,8,8,0.7607,41.09
18,8,38,21.05,0.12,0.375,8,8,0.7359,36.38
19,8,38,21.05,0.11,0.408,8,8,0.7336,40.41
20,8,38,21.05,0.1,0.368,8,8,0.7257,36.12
21,8,38,21.05,0.079,0.447,8,8,0.7208,37.42
22,8,38,21.05,0.069,0.434,8,8,0.6946,38.46
23,8,38,21.05,0.063,0.434,8,8,0.6839,40.78
24,8,38,21.05,0.055,0.342,8,8,0.6808,43.04
25,8,38,21.05,0.051,0.303,8,8,0.6641,42.26
26,8,38,21.05,0.047,0.316,8,8,0.6385,42.85
27,8,38,21.05,0.043,0.289,8,8,0.6422,38.11
28,8,38,21.05,0.035,0.243,8,8,0.6267,42.51
29,8,38,21.05,0.031,0.191,8,8,0.6259,44.93
30,8,38,21.05,0.026,0.191,8,8,0.6131,39.84
31,8,38,21.05,0.023,0.191,8,8,0.5963,43.55
32,8,38,21.05,0.021,0.184,8,8,0.5827,43.59
33,8,38,21.05,0.02,0.211,8,8,0.5686,41.2
34,8,38,21.05,0.018,0.23,0,0,0.5631,44.74
35,8,38,21.05,0.015,0.23,8,8,0.537,45.27
